IST-0.jpeg    	          3.940814444
IST-2.jpeg    	          4.008044645
IST-1.jpeg    	          4.303056248
IST-4.jpeg    	          4.571639851
IST-5.jpeg    	          4.641620052
IST-6.jpeg    	          4.646299952
IST-7.jpeg    	          4.527735750
IST-8.jpeg    	          2.740342126
IST-9.jpeg    	          2.696621125
IST-3.jpeg    	          6.907472070
total 	8           7.298518975
thread_0 	2           6.740058771
thread_1 	1           4.414893550
thread_2 	2           6.873278272
thread_3 	1           7.204173474
thread_4 	1           4.966016956
thread_5 	1           5.122591658
thread_6 	1           5.221957659
thread_7 	1           5.363667460
