IST-2.jpeg    	         14.836316087
IST-1.jpeg    	         15.546996887
IST-0.jpeg    	         16.399607894
IST-4.jpeg    	         16.321623620
IST-6.jpeg    	         16.520716433
IST-5.jpeg    	         17.540536145
IST-7.jpeg    	         17.255811958
IST-8.jpeg    	         10.026516450
IST-9.jpeg    	          9.607197150
IST-3.jpeg    	         26.174098362
total 	8          27.769453867
thread_0 	1          16.616662197
thread_1 	2          25.630577440
thread_2 	2          25.595449540
thread_3 	1          27.610159364
thread_4 	1          18.069934321
thread_5 	1          19.542904746
thread_6 	1          18.844825634
thread_7 	1          20.296167958
