IST-1.jpg    	         25.747207797
IST-17.jpg    	          5.304092152
IST-18.jpg    	          2.923066167
IST-19.jpg    	          3.034538474
IST-2.jpg    	         37.092931286
IST-3.jpg    	         38.883156528
IST-20.jpg    	          3.056124382
IST-21.jpg    	          2.945573879
IST-22.jpg    	          2.832225176
IST-23.jpg    	          2.828581075
IST-24.jpg    	          2.837306275
IST-5.jpg    	         43.005850723
IST-4.jpg    	         43.880490854
IST-25.jpg    	          2.810125775
IST-26.jpg    	          2.790655095
IST-27.jpg    	          2.730911611
IST-28.jpg    	          2.713625838
IST-29.jpg    	          2.643572416
IST-30.jpg    	          2.689505125
IST-31.jpg    	          2.598958969
IST-32.jpg    	          2.743870278
IST-7.jpg    	         57.249808497
IST-8.jpg    	         58.924298991
IST-9.jpg    	         58.911161562
IST-12.jpg    	         52.616273978
IST-10.jpg    	         59.087030606
IST-14.jpg    	         52.440290872
IST-15.jpg    	         52.489642884
IST-13.jpg    	         53.279065510
IST-16.jpg    	         52.476161085
IST-6.jpg    	         74.419124638
IST-11.jpg    	         68.621953436
total 	16          76.794533565
thread_0 	8          48.443776903
thread_1 	5          48.640725743
thread_2 	4          47.664156632
thread_3 	2          47.150656610
thread_4 	2          46.541593314
thread_5 	1          75.617688516
thread_6 	1          58.603865485
thread_7 	1          60.530999396
thread_8 	1          60.705144879
thread_9 	1          61.119797239
thread_10 	1          76.639493055
thread_11 	1          61.084778542
thread_12 	1          62.095573708
thread_13 	1          61.589265202
thread_14 	1          62.300645681
thread_15 	1          61.971693847
