IST-2.jpg    	          1.268164502
IST-4.jpg    	          3.367353674
IST-6.jpg    	          3.911206490
IST-8.jpg    	          2.001303388
IST-10.jpg    	          1.893759604
IST-12.jpg    	          1.626485826
IST-14.jpg    	          1.512340009
IST-1.jpg    	         29.972299519
IST-16.jpg    	          1.629576088
IST-3.jpg    	         31.831514616
IST-18.jpg    	          1.611143407
IST-5.jpg    	         33.487926462
IST-9.jpg    	         30.624851477
IST-7.jpg    	         31.567600754
IST-20.jpg    	          1.670962104
IST-22.jpg    	          1.612750206
IST-24.jpg    	          1.522658512
IST-13.jpg    	         34.365896516
IST-26.jpg    	          1.469758902
IST-15.jpg    	         33.453239240
IST-28.jpg    	          1.327483041
IST-17.jpg    	         25.909005893
IST-30.jpg    	          1.460202901
IST-19.jpg    	         25.662465090
IST-21.jpg    	         25.366789698
IST-23.jpg    	         24.804246826
IST-32.jpg    	          1.443298102
IST-25.jpg    	         24.118367248
IST-11.jpg    	         60.435154639
IST-29.jpg    	         22.941332927
IST-31.jpg    	         11.384236366
IST-27.jpg    	         33.911273847
total 	8          76.157559967
thread_0 	5          70.499914645
thread_1 	3          60.341169596
thread_2 	4          60.920225856
thread_3 	5          76.068395478
thread_4 	3          60.757929368
thread_5 	2          65.999269271
thread_6 	4          62.481809951
thread_7 	6          66.654476938
