block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks
1,00:00,00:36,0.0,36.0,0.6,Governo/Partidos,No speech,Governo/Partidos,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,weak_candidate_no_persistence,low,00:33,33.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",False,,,,"Governo/Partidos, Greves/Trabalho, Justiça/Segurança",,,,protestos no parlamento | police | policia | país a meio gas | l deverá provoc | provocar fortes | fortes constrai | país a meio gás,,"1, 2"
2,00:36,01:09,36.0,69.0,0.55,Internacional,Governo/Partidos,Internacional,low_conflict,True,OCR and speech themes conflict.,0.273,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,24.0,first_speech_window,Internacional,"Governo/Partidos, Greves/Trabalho",,,alerta aos países nato | bayerische vertretung in berlin | 0 0km h | 0 4km h | d 6346m | h 18m | 0 0 | 45 06,"Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram",3
3,01:09,01:12,69.0,72.0,0.05,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,9.0,first_speech_window,,"Governo/Partidos, Greves/Trabalho",,,lisboa paris londres | 2 95 | 3 28 | 4 05 0 37 1 63,"Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram",4
4,01:12,01:15,72.0,75.0,0.05,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,12.0,first_speech_window,,"Governo/Partidos, Greves/Trabalho",,,0 37 | 1 63 | 2 7 | 3 28 | 0 000 | 32 26 11 w,"Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram",5
5,01:15,01:39,75.0,99.0,0.4,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.625,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,15.0,first_speech_window,,"Governo/Partidos, Greves/Trabalho, Justiça/Segurança",,,use 1 | 35037 0 | 41 38 53 n | 51 25 73 n | 19 59 | qui 11 | telejornal | tele jornal,"Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram a grave geral com uma concentração no local. Milhaz de pessoas encheram a praça à frente da Semedade República. E, ao que ir da noite, ocorreram vários incidentes. Os manifestantes foram buscar cachotes do listo Rua e começaram a tirar guerráficas de vidro e sacos do listo na direção da escadaria do Parlamento. A manifestantes de cara tapada foram também em queimados cartazes junto à escadaria. Apenas um manifestante salto às grades. A polícia concentrou-se e reforçou a presença",6
6,01:39,05:45,99.0,345.0,4.1,Governo/Partidos,Justiça/Segurança,Governo/Partidos,low_conflict,True,OCR and speech themes conflict.,1.0,0.329,9,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,9.0,"theme_changed, volume_change_high","Governo/Partidos, Greves/Trabalho, Justiça/Segurança","Governo/Partidos, Justiça/Segurança, Greves/Trabalho, Abertura/Manchetes, Ambiente/Meteorologia/Proteção Civil, Saúde, Educação",,,manifestação na assembleia | 19 59 | qui 11 | tele jornal | cartazes incendiados junto ao parlamento | psp reteve homem que invadiu escadarias da a r | 111111111111111111111111111111111111111 | telejornal,"a grave geral com uma concentração no local. Milhaz de pessoas encheram a praça à frente da Semedade República. E, ao que ir da noite, ocorreram vários incidentes. Os manifestantes foram buscar cachotes do listo Rua e começaram a tirar guerráficas de vidro e sacos do listo na direção da escadaria do Parlamento. A manifestantes de cara tapada foram também em queimados cartazes junto à escadaria. Apenas um manifestante salto às grades. A polícia concentrou-se e reforçou a presença à porta do Parlamento. Depois, os agentes deixaram a escadaria, a sendo auve, do larmence do objeto por parte de manifestantes. Muito boa noite. A situação neste momento continua complexa. Aqui ainda um corredão poli...","7, 8, 9, 10"
7,05:45,05:54,345.0,354.0,0.15,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:00,15.0,"theme_changed, volume_change_high",,"Saúde, Educação",,,qui 11 20 03 | tele jornal | 20 03 | qui 11,"mas apenas o método Lisboa esteve completamente parado. A Grave também se fez sentir com o maior intensidade nos setores públicos da saúde e da educação. Muitas escolas públicas estivaram encerradas e não SNS foram adiados milhares de exames médicos, consultas e cirurgias. Como sempre, nessas ocasiões há grande infugência nos números. As centrais sindicais disseram que a greva geral está a ser um verdadeiro sucesso e criada de visão se encontra acima das expectativas. A CISIDP afirma o mesmo que mais de três milhões de",11
8,05:54,06:09,354.0,369.0,0.25,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.6,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:00,6.0,"theme_changed, volume_change_high",,"Saúde, Educação, Governo/Partidos, Greves/Trabalho",,,qui 11 20 03 | tele jornal | tele jo rnal | telejornal | flixbus telejornal | flixbus | aus | flixbu5,"mas apenas o método Lisboa esteve completamente parado. A Grave também se fez sentir com o maior intensidade nos setores públicos da saúde e da educação. Muitas escolas públicas estivaram encerradas e não SNS foram adiados milhares de exames médicos, consultas e cirurgias. Como sempre, nessas ocasiões há grande infugência nos números. As centrais sindicais disseram que a greva geral está a ser um verdadeiro sucesso e criada de visão se encontra acima das expectativas. A CISIDP afirma o mesmo que mais de três milhões de trabalhadores adquiriram a paralização. Já o governo disse que o nível de adição é inespecível, em particular do sr. privado e social, onde não traou o trapaçado dos 10%. O ex...",12
9,06:09,06:30,369.0,390.0,0.35,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:00,9.0,"theme_changed, volume_change_high",,"Governo/Partidos, Greves/Trabalho",,,20 04 | qui 11 | telejornal | tele jornal | qui 11 20 04,"trabalhadores adquiriram a paralização. Já o governo disse que o nível de adição é inespecível, em particular do sr. privado e social, onde não traou o trapaçado dos 10%. O executivo comprou o efeito desta paralização ao de uma greva personal da função pública.",13
10,06:30,06:36,390.0,396.0,0.1,Other/Unknown,Greves/Trabalho,Greves/Trabalho,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:00,30.0,"theme_changed, volume_change_high",,Greves/Trabalho,,,rtp | rtp pt | 20 04 | qui 11 | tele jornal | 0 0 | 9 6 | rtn nf,"O dia de greve geral acabou com uma manifestação da CZTP, há 12 anos, que não havia uma greve geral conjunta marcada pelas duas centrais sindicais. CZTP e UGT falam de uma das melhores greves de sempre e apontam para três milhões de trabalhadores em greve. A CZTP não quis adiantar um número aproximado de manifestantes, mas o mar de gente encheu as ruas para onde passou durante a tarde,",14
