block_id,ocr_start_sec,ocr_end_sec,ocr_start_time,ocr_end_time,ocr_duration_sec,ocr_duration_min,window_id,speech_start_sec,speech_end_sec,speech_start_time,speech_end_time,speech_duration_sec,overlap_sec,overlap_ratio_of_ocr_block,overlap_ratio_of_speech_window,ocr_theme,ocr_themes_present,ocr_text,speech_theme,speech_themes_present,speech_candidates_present,speech_parties_present,speech_text,speech_source_segments,speech_transition_reason
6,84.0,216.0,01:24,03:36,132.0,2.2,1,150.0,180.0,02:30,03:00,30.0,30.0,0.22727272727272727,1.0,Saúde,Saúde,tele jornal | ter 02 19 59 | marcelo no hospital | telejornal | madoel o no licedital | presidente deverá ter alta ama | presidente deverá ter alta amanhã | now,Saúde,Saúde,,,"Esta cirurgia foi feita de uma forma muito atempada ou sem satias de vir, procurar a cuidar de saúde de uma forma muito oportuna e, portanto, corra bem. Estamos a",1,
6,84.0,216.0,01:24,03:36,132.0,2.2,2,180.0,210.0,03:00,03:30,30.0,30.0,0.22727272727272727,1.0,Saúde,Saúde,tele jornal | ter 02 19 59 | marcelo no hospital | telejornal | madoel o no licedital | presidente deverá ter alta ama | presidente deverá ter alta amanhã | now,Other/Unknown,,,,"plaza um quadra agudo, bem que se encontrava um forte. Sim, mas que se tivesse corrigado mais horas, podiam ser assim. Nós temos, de qualquer das formas, que ter o cuidado de perceber que está efetivamente tudo bem.",1,
9,228.0,264.0,03:48,04:24,36.0,0.6,4,240.0,270.0,04:00,04:30,30.0,24.0,0.6666666666666666,0.8,Other/Unknown,Governo/Partidos,tele jornal | ter 02 20 01 | per printiw | presidente internado | telejornal | montenegro leva um abraço do povo português | marcelo rebelo de sousa está muito bem disposto | ter 02 20 02,Other/Unknown,,,,"Eu acredito que não será a vazive da minha parte de dizer que leva um abraço do povo portuguesa e, portanto, está sorridente passará uma dessa boa disposição também. Uma oportunidade de poder transmitir-lhe que o país está naturalmente com ele e deseja um rápido restabilcimento e recuperação.",2,
10,264.0,360.0,04:24,06:00,96.0,1.6,4,240.0,270.0,04:00,04:30,30.0,6.0,0.0625,0.2,Governo/Partidos,Governo/Partidos,montenegro leva um abraço do pov | presidente internado | telejornal | ter 02 20 02 | montenegro leva um abraço do povo português | 9 1 | direto | presidente da assembl,Other/Unknown,,,,"Eu acredito que não será a vazive da minha parte de dizer que leva um abraço do povo portuguesa e, portanto, está sorridente passará uma dessa boa disposição também. Uma oportunidade de poder transmitir-lhe que o país está naturalmente com ele e deseja um rápido restabilcimento e recuperação.",2,
10,264.0,360.0,04:24,06:00,96.0,1.6,5,270.0,300.0,04:30,05:00,30.0,30.0,0.3125,1.0,Governo/Partidos,Governo/Partidos,montenegro leva um abraço do pov | presidente internado | telejornal | ter 02 20 02 | montenegro leva um abraço do povo português | 9 1 | direto | presidente da assembl,Governo/Partidos,"Eleições/Campanha, Governo/Partidos, Saúde",,,"O primeiro ministro e o presidente da Assembleia da República encontraram-se à porta do hospital e seguiram juntos pro quarto onde estava o presidente. A visita durou pouco mais de 20 minutos, mas foi o suficiente para aguar branca a segurar que não será necessário substituir Marcelo Rebel de Souza nas funções presidenciais. Estava muito bem disposto, a otimista, queria que o presidente que todos conhecemos já com a dinâmica de aquilo que será o trabalho também nas próximas semanas,","2, 3",
10,264.0,360.0,04:24,06:00,96.0,1.6,6,300.0,330.0,05:00,05:30,30.0,30.0,0.3125,1.0,Governo/Partidos,Governo/Partidos,montenegro leva um abraço do pov | presidente internado | telejornal | ter 02 20 02 | montenegro leva um abraço do povo português | 9 1 | direto | presidente da assembl,Governo/Partidos,"Governo/Partidos, Saúde",,,"muito bem tratado, como bocada só podemos estar satisfeitos, por sabemos que vamos ter o presidente seguramente a trabalhar até o final do seu mandado. O presidente não vai ser necessário a substituição. Pode ficar descaçado, se não bom ter o presidente há sempre o dia de república com o presidente. E mesmo internado, o presidente promulgou um diploma do governo. É, portanto, caso para dizer que saia trabalhar bem. O primeiro ministro e lugeu em indo ao trabalho dos profissionais de saúde. Para esta","3, 4",
10,264.0,360.0,04:24,06:00,96.0,1.6,7,330.0,360.0,05:30,06:00,30.0,30.0,0.3125,1.0,Governo/Partidos,Governo/Partidos,montenegro leva um abraço do pov | presidente internado | telejornal | ter 02 20 02 | montenegro leva um abraço do povo português | 9 1 | direto | presidente da assembl,Other/Unknown,,,PS,"tarde, estava prevista a visita do secretário-geral do Partido Socialista. Foi adiada para a Quarta-Feira às 9 de manhã. Mas o regresso do Presidente, a Záfama do Diadia, não será para já. Com a agenda cancelada até domingo, Marcelo Rebello de Sosa tinha previstas duas deslocações aos tranjeiras em dezembro.",4,
11,360.0,363.0,06:00,06:03,3.0,0.05,8,360.0,390.0,06:00,06:30,30.0,3.0,1.0,0.1,Other/Unknown,,andré mateus pinto | carlos valente | editor de imagem | pedro amanajás soraia maia | repórteres de imagem | cristiano costa cláudia viana | jornalistas | raquel amado rita macedo,Abertura/Manchetes,Abertura/Manchetes,,,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo",5,
12,363.0,366.0,06:03,06:06,3.0,0.05,8,360.0,390.0,06:00,06:30,30.0,3.0,1.0,0.1,Other/Unknown,Internacional,telejornal | ter 02 20 03 | receção em honra dos reis de espanha | tele jornal | ter 02 20 04,Abertura/Manchetes,Abertura/Manchetes,,,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo",5,
13,366.0,369.0,06:06,06:09,3.0,0.05,8,360.0,390.0,06:00,06:30,30.0,3.0,1.0,0.1,Other/Unknown,,the person named in | telejornal | ter 02 20 04,Abertura/Manchetes,Abertura/Manchetes,,,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo",5,
14,369.0,375.0,06:09,06:15,6.0,0.1,8,360.0,390.0,06:00,06:30,30.0,6.0,1.0,0.2,Other/Unknown,,and the property of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the par | tele jornal | ter 02 20 04 | telejornal | rtp pt | presidente operado,Abertura/Manchetes,Abertura/Manchetes,,,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo",5,
15,375.0,579.0,06:15,09:39,204.0,3.4,8,360.0,390.0,06:00,06:30,30.0,15.0,0.07352941176470588,0.5,Internacional,"Internacional, Saúde",presidente operado | rtp pt | tele jornal | ter 02 20 04 | adiadas visitas oficiais a espanha e a | ddecidente adedada | telejornal | adiadas visitas oficiais a espanha e ao vaticano,Abertura/Manchetes,Abertura/Manchetes,,,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo",5,
