block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,No speech,0.0,0.0,0.0,0.0,0,,,,,,
2,No speech,0.0,0.0,0.0,0.0,0,,,,,,
3,No speech,0.0,0.0,0.0,0.0,0,,,,,,
4,No speech,0.0,0.0,0.0,0.0,0,,,,,,
5,No speech,0.0,0.0,0.0,0.0,0,,,,,,
6,Saúde,30.0,0.5,60.0,0.45454545454545453,2,Saúde,,,1,"Esta cirurgia foi feita de uma forma muito atempada ou sem satias de vir, procurar a cuidar de saúde de uma forma muito oportuna e, portanto, corra bem. Estamos a plaza um quadra agudo, bem que se encontrava um forte. Sim, mas que se tivesse corrigado mais horas, podiam ser assim. Nós temos, de qualquer das formas, que ter o cuidado de perceber que está efetivamente tudo bem.","Esta cirurgia foi feita de uma forma muito atempada ou sem satias de vir, procurar a cuidar de saúde de uma forma muito oportuna e, portanto, corra bem. Estamos a plaza um quadra agudo, bem que se encontrava um forte. Sim, mas que se tivesse corrigado mais horas, podiam ser assim. Nós temos, de qualquer das formas, que ter o cuidado de perceber que está efetivamente tudo bem."
7,No speech,0.0,0.0,0.0,0.0,0,,,,,,
8,No speech,0.0,0.0,0.0,0.0,0,,,,,,
9,Other/Unknown,24.0,1.0,24.0,0.6666666666666666,1,,,,2,"Eu acredito que não será a vazive da minha parte de dizer que leva um abraço do povo portuguesa e, portanto, está sorridente passará uma dessa boa disposição também. Uma oportunidade de poder transmitir-lhe que o país está naturalmente com ele e deseja um rápido restabilcimento e recuperação.","Eu acredito que não será a vazive da minha parte de dizer que leva um abraço do povo portuguesa e, portanto, está sorridente passará uma dessa boa disposição também. Uma oportunidade de poder transmitir-lhe que o país está naturalmente com ele e deseja um rápido restabilcimento e recuperação."
10,Governo/Partidos,60.0,0.625,96.0,1.0,4,"Eleições/Campanha, Governo/Partidos, Saúde",,PS,"2, 3, 4","Eu acredito que não será a vazive da minha parte de dizer que leva um abraço do povo portuguesa e, portanto, está sorridente passará uma dessa boa disposição também. Uma oportunidade de poder transmitir-lhe que o país está naturalmente com ele e deseja um rápido restabilcimento e recuperação. O primeiro ministro e o presidente da Assembleia da República encontraram-se à porta do hospital e seguiram juntos pro quarto onde estava o presidente. A visita durou pouco mais de 20 minutos, mas foi o suficiente para aguar branca a segurar que não será necessário substituir Marcelo Rebel de Souza nas funções presidenciais. Estava muito bem disposto, a otimista, queria que o presidente que todos conhecemos já com a dinâmica de aquilo que será o trabalho também nas próximas semanas, muito bem tratado, como bocada só podemos estar satisfeitos, por sabemos que vamos ter o presidente seguramente a trabalhar até o final do seu mandado. O presidente não vai ser necessário a substituição. Pode ficar descaçado, se não bom ter o presidente há sempre o dia de república com o presidente. E mesmo internado, o presidente promulgou um diploma do governo. É, portanto, caso para dizer que saia trabalhar bem. O primeiro ministro e lugeu em indo ao trabalho dos profissionais de saúde. Para esta tarde, estava prevista a visita do secretário-geral do Partido Socialista. Foi adiada para a Quarta-Feira às 9 de manhã. Mas o regresso do Presidente, a Záfama do Diadia, não será para já. Com a agenda cancelada até domingo, Marcelo Rebello de Sosa tinha previstas duas deslocações aos tranjeiras em dezembro.","Eu acredito que não será a vazive da minha parte de dizer que leva um abraço do povo portuguesa e, portanto, está sorridente passará uma dessa boa disposição também. Uma oportunidade de poder transmitir-lhe que o país está naturalmente com ele e deseja um rápido restabilcimento e recuperação. O primeiro ministro e o presidente da Assembleia da República encontraram-se à porta do hospital e seguiram juntos pro quarto onde estava o presidente. A visita durou pouco mais de 20 minutos, mas foi o suficiente para aguar branca a segurar que não será necessário substituir Marcelo Rebel de Souza nas funções presidenciais. Estava muito bem disposto, a otimista, queria que o presidente que todos conhec..."
11,Abertura/Manchetes,3.0,1.0,3.0,1.0,1,Abertura/Manchetes,,,5,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo","Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo"
12,Abertura/Manchetes,3.0,1.0,3.0,1.0,1,Abertura/Manchetes,,,5,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo","Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo"
13,Abertura/Manchetes,3.0,1.0,3.0,1.0,1,Abertura/Manchetes,,,5,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo","Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo"
14,Abertura/Manchetes,6.0,1.0,6.0,1.0,1,Abertura/Manchetes,,,5,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo","Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo"
