block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks
1,00:00,01:15,0.0,75.0,1.25,Desporto,No speech,Desporto,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,candidate_detected,high,00:24,24.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",False,,,,"Eleições/Campanha, Sondagens, Desporto",,,,sondagem rtp presidenciais 2026 | sem dinheiro | sem dinheiro para medicamentos | para medicamentos | advancis | posologia prescrita | combiningo | posologia prescrito,,1
2,01:15,01:18,75.0,78.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,15.0,first_speech_window,,,,,42 36 57 n | 277 | 3 28 | 3 90 | 0 89 4 05 0 37 1 63 | 63 4 | 0 37 | 0 83,,2
3,01:18,01:39,78.0,99.0,0.35,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,0.429,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,12.0,first_speech_window,,Eleições/Campanha,,André Ventura,42 36 57 n | 53 22 77 n | 19 59 | tele jornal | ter 13 | joão adelino far | joão adelino faria,"Bom, no item de aventura e antónios de seguro são os candidatos que estão em melhores condições de passar a segunda volta das presidenciais. Sondar a genuïcidade católica para RTP, a entenda um e público, mostram-te entre um que os dois candidatos estão praticamente empatados assim. Ventura tem 24% e seguro 23%. João Cotrinho, de Figuero, surge aqui logo a seguir com 19%. Tem também assim possibilidade de passar",3
4,01:39,02:00,99.0,120.0,0.35,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,9.0,first_speech_window,,Eleições/Campanha,,André Ventura,19 59 | tele jornal | ter 13 | antonio jose beourd | telejornal | antonio jose usouno | antonio jose miguro | antonio jose beound,"Bom, no item de aventura e antónios de seguro são os candidatos que estão em melhores condições de passar a segunda volta das presidenciais. Sondar a genuïcidade católica para RTP, a entenda um e público, mostram-te entre um que os dois candidatos estão praticamente empatados assim. Ventura tem 24% e seguro 23%. João Cotrinho, de Figuero, surge aqui logo a seguir com 19%. Tem também assim possibilidade de passar",4
5,02:00,02:03,120.0,123.0,0.05,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,30.0,first_speech_window,,"Eleições/Campanha, Sondagens",,,antonio jose beound | 19 59 | sales and assessment of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the | tele jornal | ter 13 | valorio post beotro | gao companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la comp,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há",5
6,02:03,02:18,123.0,138.0,0.25,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,33.0,first_speech_window,,"Eleições/Campanha, Sondagens",,,onlord should shotha | 19 59 | tele jornal | ter 13 | onlows should shotha | onlows section of street | 10a0 cothim fiouring | antonio josé deguno,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há",6
7,02:18,02:21,138.0,141.0,0.05,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,03:00,42.0,"theme_changed, entities_changed",,"Eleições/Campanha, Sondagens",,,antonio jose sequino | 19 59 | telejornal | ter 13 | antonio jose sedvino | joso column political | amtónio joné sequiio | toyo comminication of,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há",7
8,02:21,02:24,141.0,144.0,0.05,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,03:00,39.0,"theme_changed, entities_changed",,"Eleições/Campanha, Sondagens",,,bv91mb | tele jornal | ter 13 19 59 | ter 13 20 00,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há",8
9,02:24,03:06,144.0,186.0,0.7,Other/Unknown,Sondagens,Sondagens,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.714,3,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,03:00,36.0,"theme_changed, entities_changed",,"Eleições/Campanha, Sondagens, Educação, Justiça/Segurança",,"Luís Marques Mendes, Catarina Martins, Jorge Pinto",telej ornal | ter 13 20 00 | tele jornal | telejornal,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há muito em aberto. A sondagem da Universidade Católica para RTP ante em um jornal público mostra proximidades, mudanças e incógnitas para uma quase certa segunda volta. A frente há um empate técnico, entrando a aventura com 24% e antónios é seguro com 23%. Sous-mas prováveis de avançarem par...",9
10,03:06,03:21,186.0,201.0,0.25,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,03:00,6.0,"theme_changed, entities_changed",,"Eleições/Campanha, Sondagens, Justiça/Segurança","Luís Marques Mendes, Henrique Gouveia e Melo","Luís Marques Mendes, Catarina Martins, Jorge Pinto",henrique gouveia e melo | tele jornal | ter 13 20 00 | luís marques mendes | telejornal,"um valor que está no limite da margem de erro. Sem possibilidade para a segunda volta, estão Govimelo e Marques Mendes, ambos empatados com 14%, o candidato apoiado no PSD tem a maior queda, chegou a recolher 20% na ultima sondagem. Os candidatos da esquerda estão bem longe, Catarina Martins e António Flipp com 2%, Jorge Pinto com 1,5%, os restantes não chegam a sequer. É 1% São mudanças significativas",10
