block_id,ocr_start_sec,ocr_end_sec,ocr_start_time,ocr_end_time,ocr_duration_sec,ocr_duration_min,window_id,speech_start_sec,speech_end_sec,speech_start_time,speech_end_time,speech_duration_sec,overlap_sec,overlap_ratio_of_ocr_block,overlap_ratio_of_speech_window,ocr_theme,ocr_themes_present,ocr_text,speech_theme,speech_themes_present,speech_candidates_present,speech_parties_present,speech_text,speech_source_segments,speech_transition_reason
3,78.0,99.0,01:18,01:39,21.0,0.35,1,90.0,120.0,01:30,02:00,30.0,9.0,0.42857142857142855,0.3,Other/Unknown,,42 36 57 n | 53 22 77 n | 19 59 | tele jornal | ter 13 | joão adelino far | joão adelino faria,Eleições/Campanha,Eleições/Campanha,André Ventura,,"Bom, no item de aventura e antónios de seguro são os candidatos que estão em melhores condições de passar a segunda volta das presidenciais. Sondar a genuïcidade católica para RTP, a entenda um e público, mostram-te entre um que os dois candidatos estão praticamente empatados assim. Ventura tem 24% e seguro 23%. João Cotrinho, de Figuero, surge aqui logo a seguir com 19%. Tem também assim possibilidade de passar",1,
4,99.0,120.0,01:39,02:00,21.0,0.35,1,90.0,120.0,01:30,02:00,30.0,21.0,1.0,0.7,Other/Unknown,,19 59 | tele jornal | ter 13 | antonio jose beourd | telejornal | antonio jose usouno | antonio jose miguro | antonio jose beound,Eleições/Campanha,Eleições/Campanha,André Ventura,,"Bom, no item de aventura e antónios de seguro são os candidatos que estão em melhores condições de passar a segunda volta das presidenciais. Sondar a genuïcidade católica para RTP, a entenda um e público, mostram-te entre um que os dois candidatos estão praticamente empatados assim. Ventura tem 24% e seguro 23%. João Cotrinho, de Figuero, surge aqui logo a seguir com 19%. Tem também assim possibilidade de passar",1,
5,120.0,123.0,02:00,02:03,3.0,0.05,2,120.0,150.0,02:00,02:30,30.0,3.0,1.0,0.1,Other/Unknown,,antonio jose beound | 19 59 | sales and assessment of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the | tele jornal | ter 13 | valorio post beotro | gao companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la companion de la comp,Eleições/Campanha,"Eleições/Campanha, Sondagens",,,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","1, 2",
6,123.0,138.0,02:03,02:18,15.0,0.25,2,120.0,150.0,02:00,02:30,30.0,15.0,1.0,0.5,Other/Unknown,,onlord should shotha | 19 59 | tele jornal | ter 13 | onlows should shotha | onlows section of street | 10a0 cothim fiouring | antonio josé deguno,Eleições/Campanha,"Eleições/Campanha, Sondagens",,,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","1, 2",
7,138.0,141.0,02:18,02:21,3.0,0.05,2,120.0,150.0,02:00,02:30,30.0,3.0,1.0,0.1,Other/Unknown,,antonio jose sequino | 19 59 | telejornal | ter 13 | antonio jose sedvino | joso column political | amtónio joné sequiio | toyo comminication of,Eleições/Campanha,"Eleições/Campanha, Sondagens",,,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","1, 2",
8,141.0,144.0,02:21,02:24,3.0,0.05,2,120.0,150.0,02:00,02:30,30.0,3.0,1.0,0.1,Other/Unknown,,bv91mb | tele jornal | ter 13 19 59 | ter 13 20 00,Eleições/Campanha,"Eleições/Campanha, Sondagens",,,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","1, 2",
9,144.0,186.0,02:24,03:06,42.0,0.7,2,120.0,150.0,02:00,02:30,30.0,6.0,0.14285714285714285,0.2,Other/Unknown,,telej ornal | ter 13 20 00 | tele jornal | telejornal,Eleições/Campanha,"Eleições/Campanha, Sondagens",,,"a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","1, 2",
9,144.0,186.0,02:24,03:06,42.0,0.7,3,150.0,180.0,02:30,03:00,30.0,30.0,0.7142857142857143,1.0,Other/Unknown,,telej ornal | ter 13 20 00 | tele jornal | telejornal,Sondagens,"Sondagens, Educação",,,"muito em aberto. A sondagem da Universidade Católica para RTP ante em um jornal público mostra proximidades, mudanças e incógnitas para uma quase certa segunda volta. A frente há um empate técnico, entrando a aventura com 24% e antónios é seguro com 23%. Sous-mas prováveis de avançarem para um confronta 2, ambos subiram desde a ultima sondagem, mas seguro subir muito mais. Dentro dessas contas está também João Cotrinho de Figueiredo, que atinge 19%,",2,
9,144.0,186.0,02:24,03:06,42.0,0.7,4,180.0,210.0,03:00,03:30,30.0,6.0,0.14285714285714285,0.2,Other/Unknown,,telej ornal | ter 13 20 00 | tele jornal | telejornal,Eleições/Campanha,"Eleições/Campanha, Sondagens, Justiça/Segurança","Luís Marques Mendes, Catarina Martins, Jorge Pinto",PSD/AD,"um valor que está no limite da margem de erro. Sem possibilidade para a segunda volta, estão Govimelo e Marques Mendes, ambos empatados com 14%, o candidato apoiado no PSD tem a maior queda, chegou a recolher 20% na ultima sondagem. Os candidatos da esquerda estão bem longe, Catarina Martins e António Flipp com 2%, Jorge Pinto com 1,5%, os restantes não chegam a sequer. É 1% São mudanças significativas","2, 3",
10,186.0,201.0,03:06,03:21,15.0,0.25,4,180.0,210.0,03:00,03:30,30.0,15.0,1.0,0.5,Other/Unknown,,henrique gouveia e melo | tele jornal | ter 13 20 00 | luís marques mendes | telejornal,Eleições/Campanha,"Eleições/Campanha, Sondagens, Justiça/Segurança","Luís Marques Mendes, Catarina Martins, Jorge Pinto",PSD/AD,"um valor que está no limite da margem de erro. Sem possibilidade para a segunda volta, estão Govimelo e Marques Mendes, ambos empatados com 14%, o candidato apoiado no PSD tem a maior queda, chegou a recolher 20% na ultima sondagem. Os candidatos da esquerda estão bem longe, Catarina Martins e António Flipp com 2%, Jorge Pinto com 1,5%, os restantes não chegam a sequer. É 1% São mudanças significativas","2, 3",
