block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,No speech,0.0,0.0,0.0,0.0,0,,,,,,
2,No speech,0.0,0.0,0.0,0.0,0,,,,,,
3,Eleições/Campanha,9.0,1.0,9.0,0.42857142857142855,1,Eleições/Campanha,André Ventura,,1,"Bom, no item de aventura e antónios de seguro são os candidatos que estão em melhores condições de passar a segunda volta das presidenciais. Sondar a genuïcidade católica para RTP, a entenda um e público, mostram-te entre um que os dois candidatos estão praticamente empatados assim. Ventura tem 24% e seguro 23%. João Cotrinho, de Figuero, surge aqui logo a seguir com 19%. Tem também assim possibilidade de passar","Bom, no item de aventura e antónios de seguro são os candidatos que estão em melhores condições de passar a segunda volta das presidenciais. Sondar a genuïcidade católica para RTP, a entenda um e público, mostram-te entre um que os dois candidatos estão praticamente empatados assim. Ventura tem 24% e seguro 23%. João Cotrinho, de Figuero, surge aqui logo a seguir com 19%. Tem também assim possibilidade de passar"
4,Eleições/Campanha,21.0,1.0,21.0,1.0,1,Eleições/Campanha,André Ventura,,1,"Bom, no item de aventura e antónios de seguro são os candidatos que estão em melhores condições de passar a segunda volta das presidenciais. Sondar a genuïcidade católica para RTP, a entenda um e público, mostram-te entre um que os dois candidatos estão praticamente empatados assim. Ventura tem 24% e seguro 23%. João Cotrinho, de Figuero, surge aqui logo a seguir com 19%. Tem também assim possibilidade de passar","Bom, no item de aventura e antónios de seguro são os candidatos que estão em melhores condições de passar a segunda volta das presidenciais. Sondar a genuïcidade católica para RTP, a entenda um e público, mostram-te entre um que os dois candidatos estão praticamente empatados assim. Ventura tem 24% e seguro 23%. João Cotrinho, de Figuero, surge aqui logo a seguir com 19%. Tem também assim possibilidade de passar"
5,Eleições/Campanha,3.0,1.0,3.0,1.0,1,"Eleições/Campanha, Sondagens",,,"1, 2","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há"
6,Eleições/Campanha,15.0,1.0,15.0,1.0,1,"Eleições/Campanha, Sondagens",,,"1, 2","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há"
7,Eleições/Campanha,3.0,1.0,3.0,1.0,1,"Eleições/Campanha, Sondagens",,,"1, 2","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há"
8,Eleições/Campanha,3.0,1.0,3.0,1.0,1,"Eleições/Campanha, Sondagens",,,"1, 2","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há"
9,Sondagens,30.0,0.7142857142857143,42.0,1.0,3,"Eleições/Campanha, Sondagens, Educação, Justiça/Segurança","Luís Marques Mendes, Catarina Martins, Jorge Pinto",PSD/AD,"1, 2, 3","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há muito em aberto. A sondagem da Universidade Católica para RTP ante em um jornal público mostra proximidades, mudanças e incógnitas para uma quase certa segunda volta. A frente há um empate técnico, entrando a aventura com 24% e antónios é seguro com 23%. Sous-mas prováveis de avançarem para um confronta 2, ambos subiram desde a ultima sondagem, mas seguro subir muito mais. Dentro dessas contas está também João Cotrinho de Figueiredo, que atinge 19%, um valor que está no limite da margem de erro. Sem possibilidade para a segunda volta, estão Govimelo e Marques Mendes, ambos empatados com 14%, o candidato apoiado no PSD tem a maior queda, chegou a recolher 20% na ultima sondagem. Os candidatos da esquerda estão bem longe, Catarina Martins e António Flipp com 2%, Jorge Pinto com 1,5%, os restantes não chegam a sequer. É 1% São mudanças significativas","a segunda volta, tendo a enconta a margem de erro desta sondagem. A corrida presidencial ainda está a TACO ATACO, com estes três candidatos a frente, separados por poucos pontos e dá de importante ainda 15% de eleitores que estão em si. Nelha eção mais imprevisível dos últimos anos, qualquer palavra, qualquer imagem, qualquer apoio ou qualquer delize, contam para mudar tudo. E nestas presidenciais ainda há muito em aberto. A sondagem da Universidade Católica para RTP ante em um jornal público mostra proximidades, mudanças e incógnitas para uma quase certa segunda volta. A frente há um empate técnico, entrando a aventura com 24% e antónios é seguro com 23%. Sous-mas prováveis de avançarem par..."
10,Eleições/Campanha,15.0,1.0,15.0,1.0,1,"Eleições/Campanha, Sondagens, Justiça/Segurança","Luís Marques Mendes, Catarina Martins, Jorge Pinto",PSD/AD,"2, 3","um valor que está no limite da margem de erro. Sem possibilidade para a segunda volta, estão Govimelo e Marques Mendes, ambos empatados com 14%, o candidato apoiado no PSD tem a maior queda, chegou a recolher 20% na ultima sondagem. Os candidatos da esquerda estão bem longe, Catarina Martins e António Flipp com 2%, Jorge Pinto com 1,5%, os restantes não chegam a sequer. É 1% São mudanças significativas","um valor que está no limite da margem de erro. Sem possibilidade para a segunda volta, estão Govimelo e Marques Mendes, ambos empatados com 14%, o candidato apoiado no PSD tem a maior queda, chegou a recolher 20% na ultima sondagem. Os candidatos da esquerda estão bem longe, Catarina Martins e António Flipp com 2%, Jorge Pinto com 1,5%, os restantes não chegam a sequer. É 1% São mudanças significativas"
