block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,review_priority
1,00:00,01:06,0.0,66.0,1.1,Justiça/Segurança,No speech,Justiça/Segurança,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,"Greves/Trabalho, Justiça/Segurança, Desporto",,,,cnn portugal | pm e a greve interesses partidários | nedi | pm e a greven no propertion no propertion no propertion no propertion no propertion no propertion no propertion no propertion no propertion no propertion no propertion no propertion no propertion no propertion no propertio | buscas na nazaré contrato suspeito | polícia judiciária | buscas na nazaré | contrato suspeito,,"1, 2",medium
2,01:06,01:09,66.0,69.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,17 39 | 2 95 | 277 | 3 90 | 8 15 | 3 28 0 37 1 63 | 1 48 | 1 63,,3,medium
3,01:09,01:27,69.0,87.0,0.3,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,48185 tw | 45 33 61 n | 55 19 81 n | seg 10 19 59 | telejornal | josé rodrigues dos santo | josé rodrigues dos santos,,4,medium
4,01:27,02:57,87.0,177.0,1.5,Greves/Trabalho,Governo/Partidos,Greves/Trabalho,low_conflict,True,OCR and speech themes conflict.,0.633,0.526,2,candidate_detected,high,01:36,9.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,02:00,33.0,first_speech_window,"Greves/Trabalho, Economia/Proteção Social, Governo/Partidos","Governo/Partidos, Greves/Trabalho",,,greve geral | seg 10 19 59 | telejornal | pm acusa sindicatos de interesses partidários | oticias rtp pt | tele jornal | 28 27 1ew | itucional,"sobre todo ligado a gestão das duas centrais sindicais. O primeiro ministro de vida, olhar para aquilo que foi a realidade do passado sábado, onde mais de 100.000 trabalhadores tiveram na rua. E esta mobilização, esta participação, só acontece porque os trabalhadores serem-te já hoje enormes dificuldades da sua vida. E se entende que deve entrar nesse tipo de discurso de insulto a que foi a posição dos trabalhadores, então o seu primeiro ministro está olhar para a realidade, de uma forma muito enviesada. O mesmo Antenegro esclarceu a que partidesse refria.","5, 6, 7, 8",high
5,02:57,03:12,177.0,192.0,0.25,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.8,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,03:00,3.0,"new_theme_after_unknown, lexical_change_high, entities_changed, volume_change_high",Internacional,"Governo/Partidos, Educação",,,porque a tendência sindical | social democrata dentro da ugt | noticias rtp pt | seg 10 20 00 | tele jornal | e a mostrar um claro desconforto | também tem vindo a demonstrar | telejornal,"enviesada. O mesmo Antenegro esclarceu a que partidesse refria. Nós não vamos aqui há muitos anos. Daça a mesma escola é a tata que é narrativa. É cascas de banhada para a gente descoregar. Não, vamos falar de sua precaridade. Vamos falar sobre a circulação dos horários de trabalho. É que se alguém capturar por alguém, é o PC, é o CDS, é o Governo, é o",9,medium
7,03:48,03:54,228.0,234.0,0.1,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,03:30,18.0,"lexical_change_high, entities_changed",,Governo/Partidos,,,seg 10 20 01 | telejornal,"chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta.",12,medium
8,03:54,06:27,234.0,387.0,2.55,Justiça/Segurança,Governo/Partidos,Justiça/Segurança,low_conflict,True,OCR and speech themes conflict.,0.235,0.167,2,candidate_detected,high,04:27,33.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,03:30,24.0,"lexical_change_high, entities_changed","Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",Governo/Partidos,,,seg 10 20 01 | telejornal | operação dunas | noticias rtp pt | polícia judiciária fez buscas na c m da nazaré | telejornal noticias rtp pt | telejornal noticlas rtp pt | 55 28 10,"chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta. A concession foi atribuida por a mentida do Estado Central de Chamada Doca Pesca. O município não teve nada a ver com o contrato de concession, que foi, enfim, liberado porque não tinha que ser deliberado. Tanto não percebo onde é que entra aqui o município. Mas a relação com o município passa também por ele, licencimentos? Claro que sim, mas o licencimento é feito muito posteriormente ao contrato de concession.","13, 14, 15",high
9,06:27,06:30,387.0,390.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,07:00,33.0,"new_theme_after_unknown, semantic_change_high, gap_high",,,,,seg 10 20 04 | telejornal,,16,medium
10,06:30,06:42,390.0,402.0,0.2,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,weak_candidate_no_persistence,low,06:39,9.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,07:00,30.0,"new_theme_after_unknown, semantic_change_high, gap_high",,,,,juse rui rour | jornali | seg 10 20 04 | telejornal | carlos matias emanuel prezado | josé rui rodrigues | repórter de imagem | repórteres de imagem,,17,medium
11,06:42,07:12,402.0,432.0,0.5,Other/Unknown,Greves/Trabalho,Greves/Trabalho,speech_only,True,OCR theme is unknown; final theme relies on speech.,0.4,1.0,1,candidate_detected,high,07:00,18.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,07:00,18.0,"new_theme_after_unknown, semantic_change_high, gap_high",,"Governo/Partidos, Greves/Trabalho",,,seg 10 20 04 | telejornal | noticias rtp pt | tele jornal | moses pala | período experimental passa de 6 meses para 1 ano | 6 meses para lana | not cias rtp pt,"nos contratos a prazo, duração máxima sob de dois para três anos. O período espememental passa de seis meses para um ano. O governo que ainda dá a possibilidade de um trabalhador comprar dois dias de férias, outra proposta é reduzir a flexibilidade do horário para trabalhadores com filhos até aos 12 anos, que até agora podem recusar essa fase de trabalho no outurno ou trabalhar aos fizessemenes e friados. Quanto a lei da greve o governo",18,medium
