block_id,ocr_start_sec,ocr_end_sec,ocr_start_time,ocr_end_time,ocr_duration_sec,ocr_duration_min,window_id,speech_start_sec,speech_end_sec,speech_start_time,speech_end_time,speech_duration_sec,overlap_sec,overlap_ratio_of_ocr_block,overlap_ratio_of_speech_window,ocr_theme,ocr_themes_present,ocr_text,speech_theme,speech_themes_present,speech_candidates_present,speech_parties_present,speech_text,speech_source_segments,speech_transition_reason
4,87.0,177.0,01:27,02:57,90.0,1.5,1,120.0,150.0,02:00,02:30,30.0,30.0,0.3333333333333333,1.0,Greves/Trabalho,"Greves/Trabalho, Economia/Proteção Social, Governo/Partidos",greve geral | seg 10 19 59 | telejornal | pm acusa sindicatos de interesses partidários | oticias rtp pt | tele jornal | 28 27 1ew | itucional,Governo/Partidos,"Governo/Partidos, Greves/Trabalho",,,"sobre todo ligado a gestão das duas centrais sindicais. O primeiro ministro de vida, olhar para aquilo que foi a realidade do passado sábado, onde mais de 100.000 trabalhadores tiveram na rua. E esta mobilização, esta participação, só acontece porque os trabalhadores serem-te já hoje enormes dificuldades da sua vida. E se entende que deve entrar nesse tipo de discurso de insulto a que foi a posição dos trabalhadores, então o seu primeiro ministro está olhar para a realidade, de uma forma muito",1,
4,87.0,177.0,01:27,02:57,90.0,1.5,2,150.0,180.0,02:30,03:00,30.0,27.0,0.3,0.9,Greves/Trabalho,"Greves/Trabalho, Economia/Proteção Social, Governo/Partidos",greve geral | seg 10 19 59 | telejornal | pm acusa sindicatos de interesses partidários | oticias rtp pt | tele jornal | 28 27 1ew | itucional,Other/Unknown,,,,enviesada. O mesmo Antenegro esclarceu a que partidesse refria.,1,
5,177.0,192.0,02:57,03:12,15.0,0.25,2,150.0,180.0,02:30,03:00,30.0,3.0,0.2,0.1,Other/Unknown,Internacional,porque a tendência sindical | social democrata dentro da ugt | noticias rtp pt | seg 10 20 00 | tele jornal | e a mostrar um claro desconforto | também tem vindo a demonstrar | telejornal,Other/Unknown,,,,enviesada. O mesmo Antenegro esclarceu a que partidesse refria.,1,
5,177.0,192.0,02:57,03:12,15.0,0.25,3,180.0,210.0,03:00,03:30,30.0,12.0,0.8,0.4,Other/Unknown,Internacional,porque a tendência sindical | social democrata dentro da ugt | noticias rtp pt | seg 10 20 00 | tele jornal | e a mostrar um claro desconforto | também tem vindo a demonstrar | telejornal,Governo/Partidos,"Governo/Partidos, Educação",,CDS,"Nós não vamos aqui há muitos anos. Daça a mesma escola é a tata que é narrativa. É cascas de banhada para a gente descoregar. Não, vamos falar de sua precaridade. Vamos falar sobre a circulação dos horários de trabalho. É que se alguém capturar por alguém, é o PC, é o CDS, é o Governo, é o",2,
6,192.0,228.0,03:12,03:48,36.0,0.6,3,180.0,210.0,03:00,03:30,30.0,18.0,0.5,0.6,Governo/Partidos,"Greves/Trabalho, Governo/Partidos",rtp pt | seg 10 20 00 | telejornal | greve gera | greve geral | pcp acus | rtn na | pcp acusa governo de vitimização,Governo/Partidos,"Governo/Partidos, Educação",,CDS,"Nós não vamos aqui há muitos anos. Daça a mesma escola é a tata que é narrativa. É cascas de banhada para a gente descoregar. Não, vamos falar de sua precaridade. Vamos falar sobre a circulação dos horários de trabalho. É que se alguém capturar por alguém, é o PC, é o CDS, é o Governo, é o",2,
6,192.0,228.0,03:12,03:48,36.0,0.6,4,210.0,240.0,03:30,04:00,30.0,18.0,0.5,0.6,Governo/Partidos,"Greves/Trabalho, Governo/Partidos",rtp pt | seg 10 20 00 | telejornal | greve gera | greve geral | pcp acus | rtn na | pcp acusa governo de vitimização,Governo/Partidos,Governo/Partidos,,,"chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta.",2,
7,228.0,234.0,03:48,03:54,6.0,0.1,4,210.0,240.0,03:30,04:00,30.0,6.0,1.0,0.2,Other/Unknown,,seg 10 20 01 | telejornal,Governo/Partidos,Governo/Partidos,,,"chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta.",2,
8,234.0,387.0,03:54,06:27,153.0,2.55,4,210.0,240.0,03:30,04:00,30.0,6.0,0.0392156862745098,0.2,Justiça/Segurança,"Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",seg 10 20 01 | telejornal | operação dunas | noticias rtp pt | polícia judiciária fez buscas na c m da nazaré | telejornal noticias rtp pt | telejornal noticlas rtp pt | 55 28 10,Governo/Partidos,Governo/Partidos,,,"chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta.",2,
8,234.0,387.0,03:54,06:27,153.0,2.55,7,300.0,330.0,05:00,05:30,30.0,30.0,0.19607843137254902,1.0,Justiça/Segurança,"Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",seg 10 20 01 | telejornal | operação dunas | noticias rtp pt | polícia judiciária fez buscas na c m da nazaré | telejornal noticias rtp pt | telejornal noticlas rtp pt | 55 28 10,Other/Unknown,,,,"A concession foi atribuida por a mentida do Estado Central de Chamada Doca Pesca. O município não teve nada a ver com o contrato de concession, que foi, enfim, liberado porque não tinha que ser deliberado. Tanto não percebo onde é que entra aqui o município. Mas a relação com o município passa também por ele, licencimentos? Claro que sim, mas o licencimento é feito muito posteriormente ao contrato de concession.",3,
11,402.0,432.0,06:42,07:12,30.0,0.5,11,420.0,450.0,07:00,07:30,30.0,12.0,0.4,0.4,Other/Unknown,,seg 10 20 04 | telejornal | noticias rtp pt | tele jornal | moses pala | período experimental passa de 6 meses para 1 ano | 6 meses para lana | not cias rtp pt,Greves/Trabalho,"Governo/Partidos, Greves/Trabalho",,,"nos contratos a prazo, duração máxima sob de dois para três anos. O período espememental passa de seis meses para um ano. O governo que ainda dá a possibilidade de um trabalhador comprar dois dias de férias, outra proposta é reduzir a flexibilidade do horário para trabalhadores com filhos até aos 12 anos, que até agora podem recusar essa fase de trabalho no outurno ou trabalhar aos fizessemenes e friados. Quanto a lei da greve o governo",4,
