block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks
1,00:03,01:03,3.0,63.0,1.0,Internacional,Abertura/Manchetes,Internacional,low_conflict,True,OCR and speech themes conflict.; Low speech coverage inside OCR block.,0.05,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,"Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho, Internacional","Abertura/Manchetes, Eleições/Campanha",,,médica do ozempic meio milhão de caução | incêndio na cop 30 | for ou | negociações greve geral | plano de paz ucrânia | plano de pa ucrânia | epaz | crania,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os",1
2,01:03,01:09,63.0,69.0,0.1,Other/Unknown,Abertura/Manchetes,Abertura/Manchetes,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,3.0,first_speech_window,,"Abertura/Manchetes, Eleições/Campanha",,,no and a second | semente | 45 33 61 n | 17 39 | 2 95 | 277 | 3 90 | 8 15,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os",2
3,01:09,01:21,69.0,81.0,0.2,Other/Unknown,Abertura/Manchetes,Abertura/Manchetes,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,9.0,first_speech_window,,"Abertura/Manchetes, Eleições/Campanha",,,45 33 61 n | 55 19 81 n | qui 20 19 58 | telejornal,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os",3
4,01:21,01:24,81.0,84.0,0.05,Other/Unknown,Abertura/Manchetes,Abertura/Manchetes,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,21.0,first_speech_window,,"Abertura/Manchetes, Eleições/Campanha",,,qui 20 19 58 | telejornal | joão adelino faria rtp | ioão adelinio fadia | qui 20 19 59,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os",4
5,01:24,04:09,84.0,249.0,2.75,Justiça/Segurança,Justiça/Segurança,Justiça/Segurança,high,False,,1.0,0.545,7,late_body_ocr_change,low,,87.0,4,"new_body_terms, lexical_shift_from_baseline, body_zone_changed",True,01:00,24.0,first_speech_window,"Eleições/Campanha, Justiça/Segurança","Abertura/Manchetes, Eleições/Campanha, Justiça/Segurança","Cotrim Figueiredo, Henrique Gouveia e Melo",,qui 20 19 59 | telejornal | debates presidenciais | gouveia e melo e cot | gouveia e melo e cotrim figueiredo às 21h na rtp | 19 59 | qui 20 | oticias rtp pt,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os dois candidatos à presidência da República vão discutir temas como o alé laboral a tapo aos poderes do presidente da República. O debate que vai ser neste estudo e começa a seguir ao telas de jornal vai ser mudado pelo Victor Gonçado. A Médicas Rupras 9 e 9 a.m. a o tico do Porto para ser presente à juíza de instrução criminal e responder pela prática de crimes cometidos, algadamente há muitos anos. A operação Avelix arrancou em 2020 com uma denúncia. Muito antes, já se receitava, os empicanho Portugal, para pessoas com ...","5, 6"
6,04:09,04:15,249.0,255.0,0.1,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,04:30,21.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high",,,,,david araújo josé pedro ribeiro | editora de imagem | onsudi | paula meira | repórteres de imagem | jornalistas | patrícia machado sónia silva francisca fortuna | qui 20 20 01,"da prescrição deste medicamento em Portugal. É a RTP que se tira no farmácia, zoomedicamente continua ratiado, uma delas informou receber apenas uma embalagem de cada dosagem por semana.",7
7,04:15,05:03,255.0,303.0,0.8,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.688,3,late_body_ocr_change,low,,39.0,4,"new_body_terms, lexical_shift_from_baseline, body_zone_changed",True,04:30,15.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high",Justiça/Segurança,"Saúde, Justiça/Segurança",,,qui 20 20 01 | telejornal | 4 doser | ice | operação gambérria | funcionárias ficam suspensas e | funcionárias ficam suspensas e em liberdade | ticias rtp pt,"da prescrição deste medicamento em Portugal. É a RTP que se tira no farmácia, zoomedicamente continua ratiado, uma delas informou receber apenas uma embalagem de cada dosagem por semana. O tribunal decidiu ter uma identidade e residência para as duas mulheres suspeitas de inscrever em de forma illegal 10 mil imigrantes no serviço nacional de saúde. Além disso, as duas funcionárias de um centro de saúde de cortegassa, ovar, ficam suspenças de funções e prohibidas de se contactarem uma outra e também elementos de organização que está sendo investigada pela perjota. A Polícia Judicialia acredita que as duas mulheres estão envolvidas no esquema de legalização fraude lenta de imigrantes. Os imigr...",8
8,05:03,05:51,303.0,351.0,0.8,Saúde,Saúde,Saúde,high,False,,1.0,0.562,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,05:30,27.0,"theme_changed, lexical_change_high, semantic_change_high","Saúde, Justiça/Segurança","Saúde, Justiça/Segurança",,,funcionárias ficam suspensas e em liberdade | operação gambérria | polícia judiciária | ielej ornal | ies rin bi | qui 20 20 02 | terão inscrito 10 mil imil | telejornal,"organização que está sendo investigada pela perjota. A Polícia Judicialia acredita que as duas mulheres estão envolvidas no esquema de legalização fraude lenta de imigrantes. Os imigrantes pagariam uma rede para ficar em legais, os dados seriam gerados e entregues a estas duas mulheres que no centro de saúde fariam a inscrição também em troca de dinheiro. Após isso, os imigrantes ficariam com um número de utente ou que permitem usufruir dos serviços do SNS. Ataí legal já duraria há um animai. A Pejota de Teve, de 16 pessoas incluindo uma funcionária de um ministério dos negócios tranjeios. Constituiu, no total, 26 arguidos nesta operação Canberria. As funcionárias ficam em liberdade, mas vão...",9
9,05:51,06:00,351.0,360.0,0.15,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:00,9.0,"theme_changed, semantic_change_high",,"Saúde, Justiça/Segurança",,,qui 20 20 03 | telejornal | carlos felgueiras è s | editor de ima | ana serapic | jornalis | carlos felgueiras e sousa | editor de imagem,"do SNS. Ataí legal já duraria há um animai. A Pejota de Teve, de 16 pessoas incluindo uma funcionária de um ministério dos negócios tranjeios. Constituiu, no total, 26 arguidos nesta operação Canberria. As funcionárias ficam em liberdade, mas vão ter de responder a vários cremos corrupção passiva, a suceção de auxílio à emigração ilegal e falsidade informática.",10
10,06:00,06:42,360.0,402.0,0.7,Saúde,Saúde,Saúde,high,False,,1.0,0.714,2,late_body_ocr_change,low,,36.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,06:00,0.0,"theme_changed, semantic_change_high","Justiça/Segurança, Saúde","Saúde, Justiça/Segurança",,,qui 20 20 03 | telejornal | unidade de combate à fraude n | unidade de combate à fraude no sns | 1 63 | compate | toloiornal | não está operacional medida aguarda tramitação,"Para a inscrição de medicamentos, pagamento de cirurgias ou a inscrição e de vida de imigrantes no SNS são muitas as irregularidades tetadas no Sector da Saúde, por isso governar um mês criou uma unidade combatar fraude, coordenada pela Polícia Judiciária. Mas ainda não está o pressionale, porque guarda a publicação entriu da República, ou a ordem dos médicos, assume que é preciso mais transparência. obviamente que a fiscalização é muito importante e pense que aquilo que está a ser feito, neste caso em concreto, pela Polícia Judiciária, a IGA também está, digamos, a fazer o seu trabalho em vários hospitais e eu acho que é muito importante nós temos transparência em todos esses processos e","11, 12"
