block_id,ocr_start_sec,ocr_end_sec,ocr_start_time,ocr_end_time,ocr_duration_sec,ocr_duration_min,window_id,speech_start_sec,speech_end_sec,speech_start_time,speech_end_time,speech_duration_sec,overlap_sec,overlap_ratio_of_ocr_block,overlap_ratio_of_speech_window,ocr_theme,ocr_themes_present,ocr_text,speech_theme,speech_themes_present,speech_candidates_present,speech_parties_present,speech_text,speech_source_segments,speech_transition_reason
4,57.0,66.0,00:57,01:06,9.0,0.15,1,60.0,90.0,01:00,01:30,30.0,6.0,0.6666666666666666,0.2,Other/Unknown,,tvi 19 55 | 19 55 | amos derrotar | o pacote,Governo/Partidos,"Governo/Partidos, Greves/Trabalho",,,"Porém, se começamos este sinal nacional com os momentos de alta atenção que se vivem a esta hora na Assembleia da República. Depois de uma manifestação que se iniciou de forma pacífica no rossil a improteste contra o pacote laboral, os anemos exaltaram-se a chegada ao Parlamento. Um grupo de pessoas que vemos agora em imagem começou a remissar objetos em semas, garrafas e pedras contra as escadarias",1,
5,66.0,195.0,01:06,03:15,129.0,2.15,1,60.0,90.0,01:00,01:30,30.0,24.0,0.18604651162790697,0.8,Greves/Trabalho,"Greves/Trabalho, Justiça/Segurança",19 55 | tvi | depro dar | greve geral em todo o país | tvi 19 55 | cresce a tensão na escadaria da assembleia | ânimos sobem de tom em frente à assembleia | tvi 19 56,Governo/Partidos,"Governo/Partidos, Greves/Trabalho",,,"Porém, se começamos este sinal nacional com os momentos de alta atenção que se vivem a esta hora na Assembleia da República. Depois de uma manifestação que se iniciou de forma pacífica no rossil a improteste contra o pacote laboral, os anemos exaltaram-se a chegada ao Parlamento. Um grupo de pessoas que vemos agora em imagem começou a remissar objetos em semas, garrafas e pedras contra as escadarias",1,
5,66.0,195.0,01:06,03:15,129.0,2.15,2,90.0,120.0,01:30,02:00,30.0,30.0,0.23255813953488372,1.0,Greves/Trabalho,"Greves/Trabalho, Justiça/Segurança",19 55 | tvi | depro dar | greve geral em todo o país | tvi 19 55 | cresce a tensão na escadaria da assembleia | ânimos sobem de tom em frente à assembleia | tvi 19 56,Governo/Partidos,"Governo/Partidos, Justiça/Segurança, Greves/Trabalho",,,"da Assembleia da República. A Polícia está agora a tentar controlar estes cidadãos em Fúria, ao que conseguimos apurar nenhum deles se faz parte da CZP ou da UGT, as duas centrais helicais que convocaram o protesto em dia de grabs.",1,
5,66.0,195.0,01:06,03:15,129.0,2.15,3,120.0,150.0,02:00,02:30,30.0,30.0,0.23255813953488372,1.0,Greves/Trabalho,"Greves/Trabalho, Justiça/Segurança",19 55 | tvi | depro dar | greve geral em todo o país | tvi 19 55 | cresce a tensão na escadaria da assembleia | ânimos sobem de tom em frente à assembleia | tvi 19 56,Justiça/Segurança,"Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",,,"Olá, Sandra Boloie. Está aproximadamente 10, 15 minutos. Uma equipa de intervenção rápida da Polícia de Gil. Até lá abaixo junto ao largo ao fundo das escandarias para com o investidor por Cobra, é um foco de incêndio de fube que eu lhes queria devido aos objetos que foram sendo amuntos. E que voltam agora a estar a arder mesmo junto ao gradimento. No maltura que já vamos aproximadamente com 2 horas, em que deforme a inim de",2,
5,66.0,195.0,01:06,03:15,129.0,2.15,4,150.0,180.0,02:30,03:00,30.0,30.0,0.23255813953488372,1.0,Greves/Trabalho,"Greves/Trabalho, Justiça/Segurança",19 55 | tvi | depro dar | greve geral em todo o país | tvi 19 55 | cresce a tensão na escadaria da assembleia | ânimos sobem de tom em frente à assembleia | tvi 19 56,Governo/Partidos,"Governo/Partidos, Greves/Trabalho",,,"30 para além da alguns canticos de protesto vão sendo remissadas, garrafas e outros objetos para as escadarias, caixotes do liso que foram sendo requidos nas imediações do parlamento, foram sendo desvaziados e cujo interior foi também atirado para as escadarias e como vemos, vários objetos foram ainda amuntos a liso do gradimento e estão agora a ser temmados. Nesta altura, provavelmente estarão por aqui aproximadamente 150 pessoas, tanto a lina de aquele largo e posso garantir que já estão aqui na simpleia da República mais policias",2,
5,66.0,195.0,01:06,03:15,129.0,2.15,5,180.0,210.0,03:00,03:30,30.0,15.0,0.11627906976744186,0.5,Greves/Trabalho,"Greves/Trabalho, Justiça/Segurança",19 55 | tvi | depro dar | greve geral em todo o país | tvi 19 55 | cresce a tensão na escadaria da assembleia | ânimos sobem de tom em frente à assembleia | tvi 19 56,Greves/Trabalho,Greves/Trabalho,,,"do que pessoas não quer reconhecer a palavra manifestantes, porque essa manifestação, esse protesto já acabou há muito para volta desde 5 da tarde, depois dessa manifestação que trouxe até aqui é a gente fila e a e-marja quer apoia antes da CGTP quer também de um gtx que se coligaram este dia de grava geral e que vieram até aqui, ou se tem um ex-comício ou o iluminacional mais algumas canções que foram empuadas e a partir daí, ouve uma massa humana que aqui ficou aproximadamente",2,
6,195.0,615.0,03:15,10:15,420.0,7.0,5,180.0,210.0,03:00,03:30,30.0,15.0,0.03571428571428571,0.5,Greves/Trabalho,"Justiça/Segurança, Greves/Trabalho, Governo/Partidos",greve geral em todo o país | polícia desce escadaria da ar para conter ânimos | tvi 19 57 | 19 57 | tvi | polícia desce escadaria da ar para conter ânim | polícia desce escadaria da ar para conter ânimo | tvi 19 58,Greves/Trabalho,Greves/Trabalho,,,"do que pessoas não quer reconhecer a palavra manifestantes, porque essa manifestação, esse protesto já acabou há muito para volta desde 5 da tarde, depois dessa manifestação que trouxe até aqui é a gente fila e a e-marja quer apoia antes da CGTP quer também de um gtx que se coligaram este dia de grava geral e que vieram até aqui, ou se tem um ex-comício ou o iluminacional mais algumas canções que foram empuadas e a partir daí, ouve uma massa humana que aqui ficou aproximadamente",2,
6,195.0,615.0,03:15,10:15,420.0,7.0,6,210.0,240.0,03:30,04:00,30.0,30.0,0.07142857142857142,1.0,Greves/Trabalho,"Justiça/Segurança, Greves/Trabalho, Governo/Partidos",greve geral em todo o país | polícia desce escadaria da ar para conter ânimos | tvi 19 57 | 19 57 | tvi | polícia desce escadaria da ar para conter ânim | polícia desce escadaria da ar para conter ânimo | tvi 19 58,Greves/Trabalho,"Greves/Trabalho, Cultura",,,"talvez 1.000 mil e 500 pessoas, montado das pessoas que aqui estiveram quando chegou aqui na manifestação, mas a partir das 6 da tarde foram muitos os que desmobilizaram, cada vez tem sido mais aqueles que se têm ainda embora, mas a verdade continua aqui a ver um grupo de 6, 150 de pessoas que são só uma música, pelo meio com algumas frases de protesto e também com alguma perificação para que os agentes policiais aqui se vai mantendo, inclusive um de eles já passou pelo",2,
6,195.0,615.0,03:15,10:15,420.0,7.0,7,240.0,270.0,04:00,04:30,30.0,30.0,0.07142857142857142,1.0,Greves/Trabalho,"Justiça/Segurança, Greves/Trabalho, Governo/Partidos",greve geral em todo o país | polícia desce escadaria da ar para conter ânimos | tvi 19 57 | 19 57 | tvi | polícia desce escadaria da ar para conter ânim | polícia desce escadaria da ar para conter ânimo | tvi 19 58,Justiça/Segurança,Justiça/Segurança,,,"gradimento e acabou por ser de tido de forma tranquila e pacífica pela policia. Líndia na costa está lá embaixo no dólar com outra perspectiva relativamente, aquilo que vai ainda é entre aspas movendo estas pessoas para estar aqui enfrentando a simpleia da República de Líndia. O cenário é este de desorden, causo total a vários contentores a serem quemados. Estas pessoas que estão aqui presentes há","2, 3",
6,195.0,615.0,03:15,10:15,420.0,7.0,8,270.0,300.0,04:30,05:00,30.0,30.0,0.07142857142857142,1.0,Greves/Trabalho,"Justiça/Segurança, Greves/Trabalho, Governo/Partidos",greve geral em todo o país | polícia desce escadaria da ar para conter ânimos | tvi 19 57 | 19 57 | tvi | polícia desce escadaria da ar para conter ânim | polícia desce escadaria da ar para conter ânimo | tvi 19 58,Justiça/Segurança,Justiça/Segurança,,,"mais de duas horas a provocar esta desorden, são a arredençar objetos de vidro, também outros objetos, sacos de lixo e na verdade há muita tensão. A polícia já fez uma primeira intervenção, um primeiro aviso, estes jovens, principalmente jovens, que estão aqui presentes a causar toda esta confusão. Renderam-se, furam para trás, mas poucos estão depois, estão de volta e continua há",3,
6,195.0,615.0,03:15,10:15,420.0,7.0,9,300.0,330.0,05:00,05:30,30.0,30.0,0.07142857142857142,1.0,Greves/Trabalho,"Justiça/Segurança, Greves/Trabalho, Governo/Partidos",greve geral em todo o país | polícia desce escadaria da ar para conter ânimos | tvi 19 57 | 19 57 | tvi | polícia desce escadaria da ar para conter ânim | polícia desce escadaria da ar para conter ânimo | tvi 19 58,Greves/Trabalho,Greves/Trabalho,,,"muito fogo, muitas fogulhas no ar, um cheiro intenso também, fumo e continuam, num protesto que acabou pacificamente uma manifestação que acabou de forma pacífica há mais de duas horas, em tantos ánims exaltaram-se, começaram a ser remassados objetos de vidro, garafas de vidro, essencialmente, uma pessoa acabou por entrar pela escadaria e já foi vestida, é este o cenário que conseguimos ver",3,
6,195.0,615.0,03:15,10:15,420.0,7.0,10,330.0,360.0,05:30,06:00,30.0,30.0,0.07142857142857142,1.0,Greves/Trabalho,"Justiça/Segurança, Greves/Trabalho, Governo/Partidos",greve geral em todo o país | polícia desce escadaria da ar para conter ânimos | tvi 19 57 | 19 57 | tvi | polícia desce escadaria da ar para conter ânim | polícia desce escadaria da ar para conter ânimo | tvi 19 58,Justiça/Segurança,Justiça/Segurança,,,"aqui junto à escadaria na linha da frente. Vou para passar a palavra aos José Carlos Arãos. E continuo a arte, alguns objetos ali no fundo da escandaria, a policia já tentou a pouco por fim este cenário, e, exclusivamente, foi disparado alguma munição de borracha, quem estava aqui no Largo acabou por ser festar, mas em muitos depois a policia, e em que depois a policia acabou por retuar e voltar ao","3, 4",
