block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks
1,00:00,00:03,0.0,3.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,a televisão feita por si | jornal nacional,,1
2,00:03,00:12,3.0,12.0,0.15,Transportes/Mobilidade,No speech,Transportes/Mobilidade,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Transportes/Mobilidade,,,,jornal nacional | 2 976 | 5 5 | crements | caos no aeroporto natal em risco | 19 53 | tvi | tvi 19 53,,2
3,00:12,01:03,12.0,63.0,0.85,Justiça/Segurança,No speech,Justiça/Segurança,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,late_body_ocr_change,low,,45.0,4,"new_body_terms, lexical_shift_from_baseline, body_zone_changed",False,,,,Justiça/Segurança,,,,1 865 | spinumviva pgr pediu escusa | 19 53 | tvi 19 53 | pgr pediu escusa | 2 976 | pagou 300 mil a m mendes e não se lembra | tvi 19 54,,3
4,01:03,01:09,63.0,69.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,27.0,first_speech_window,,,,,19 55 | jornal nacional | tvi 19 55,,4
5,01:09,01:12,69.0,72.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,21.0,first_speech_window,,,,,tvi 19 55 | sin | 19 55,,5
6,01:12,01:15,72.0,75.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,18.0,first_speech_window,,,,,19 55,,6
7,01:15,04:06,75.0,246.0,2.85,Transportes/Mobilidade,Justiça/Segurança,Transportes/Mobilidade,low_conflict,True,OCR and speech themes conflict.,0.912,0.385,6,weak_candidate_no_persistence,low,01:45,30.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,01:30,15.0,first_speech_window,"Transportes/Mobilidade, Internacional, Justiça/Segurança","Governo/Partidos, Justiça/Segurança, Greves/Trabalho, Eleições/Campanha, Transportes/Mobilidade, Internacional",,,filas no aeroporto de lisboa | 19 55 | jornal nacional | macronal | tvi | tvi 19 55 | filas no aeroporto de lisbo | passageiros esperam hoje mais de três horas,"Dia após dia, o cenário repete, se não era o porto de Lisboa. Longas filas para o controle de fronteiras, os passageiros relatam tempos de espera que o terapáção as três horas. As filas dos últimos dias devem sás falhas no sistema de controle de fronteiras, mas também a falta de policiais. O Governo já reforçou o policiamento, mas o sindicato dos profissionais da PSP diz que não é desta forma que as filas se resolvem. Este sindicato de Nunciá ainda falta de condições no aeroporto de Lisboa. Os passageiros retidos são colocados nesta escama de campanha, que são escondidas quando há visitas de membros do governo ou até do diretor nacional de PSP. A TVI, a direção da Polícia, diz que não coment...","7, 8, 9, 10"
8,04:06,04:24,246.0,264.0,0.3,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,tvi 19 58 | condenado a 14 anos por atropelamento | 19 58 | jornal nacional | opelamento,próximos dias não irá mudar.,11
9,04:24,06:00,264.0,360.0,1.6,Justiça/Segurança,Eleições/Campanha,Justiça/Segurança,low_conflict,True,OCR and speech themes conflict.,0.688,0.455,3,late_body_ocr_change,low,,72.0,2,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump",True,05:00,36.0,"lexical_change_high, semantic_change_high",Justiça/Segurança,Eleições/Campanha,,,caso spinumviva arquivado | 19 58 | tvi caso spinumviva arquivado | jornal nacional | tvi 19 58 | pgr pediu escusa sobre as conclusões | 1 16000 | moto expressions,"próximos dias não irá mudar. e evitar isso. A minha impendência, a minha imparcialidade não está em causa. Mais parco em palavras, Marcelo não quis se alongar em comentários sobre o caso. Essa decisão, post-hermo a um terminado processo em condições específicas aconteceu, se quiserem a peste e se afuncionar. Já quem não quis deixar de comentar foi Pedro Nuno Santos, a polêmica espineu-viva, o Pânio Socialista da Secretário-Jal e marcou a campanha em que se lhe derrotado frente a Montenegro, como tem seu habitual, Pedro Nuno Santos recorreu ao Instagram.",12
10,06:00,09:15,360.0,555.0,3.25,Eleições/Campanha,Eleições/Campanha,Eleições/Campanha,high,False,,0.692,0.667,5,weak_candidate_no_persistence,low,06:06,6.0,3,"new_body_terms, lexical_shift_from_baseline",True,05:30,30.0,"new_theme_after_unknown, lexical_change_high, volume_change_high","Transportes/Mobilidade, Justiça/Segurança, Eleições/Campanha","Eleições/Campanha, Economia/Proteção Social",,Luís Marques Mendes,1571 gentes | aeroporto | delisboa | mitado global | the party named in | the reserve and persons assessed | tvi 20 00 | 1571 gustes,"Depois da sefim não viva agora dúvidas sobre as relações empresariais de um candidato presidencial. O dono de uma das principais empresas de construção de civil do país não se lembrava que tinha pago 5 mil euros por mês a marques mentes durante cinco anos em causa um longo contrato para serviços de consultoria numa ligação desconhecida até esta semana. Uma notícia que surge normal, ture em que outros candidatos presidenciais levam-tom dúvidas sobre o passado e as ligações em empresas de marques mentes. O grupo Alberto Coutualves, também conhecido como Oaka, é hoje uma das principais empresas de construção portuguesas, mas há 15 anos era mais desconhecido, o objetivo era crescer e até expandi...","13, 14"
11,09:15,10:33,555.0,633.0,1.3,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.385,4,candidate_detected,high,09:27,12.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,10:00,45.0,"theme_changed, semantic_change_high",,"Eleições/Campanha, Economia/Proteção Social, Internacional",Luís Marques Mendes,,300 mil no bolso de mendes | tvi 20 03 | 20 03 | jornal nacional | sie | empresário não se lembrava de contrato que durou 5 anos | tvi | alberto couto alves presidente do grupo aca,"foram cinco mil euros por mês durante cinco anos, 60 meses, mais 13 meses do segundo contrato assinado em 2015, com taxímpoles da mais de 300 mil euros. Em ambos os refredes contratos foi paga a título do honorário-se a quantia mensal de cinco mil euros a crescida de Iva, a taxa legal. A consultoria do agora candidato presidencial aconteceu numa altura em que a empresa estava desenvolver negócios em África e na América Latina, conselhos sobre países e análises de risco. Nunca houve relações constados, nacionais ou estrangeiros, dinheiros públicos ou quaisquer tipos de favorcimento. Sim, trabalhar e com a empresa em causa quando já não tinha qualquer cargo político. Sim, prestei os serviços q...",15
12,10:33,10:36,633.0,636.0,0.05,Other/Unknown,Internacional,Internacional,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,10:30,3.0,"theme_changed, lexical_change_high, volume_change_high",,Internacional,,,300 mil no bolso de mendes | 20 04 | tvi | são tomé e prínci | bolívia | são tomé e prín i | são tomé e prínc,"ainda presença em países como Angola, Brasil, Santo-Mé e Bolivia.",16
13,10:36,10:42,636.0,642.0,0.1,Other/Unknown,Internacional,Internacional,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,10:30,6.0,"theme_changed, lexical_change_high, volume_change_high",,Internacional,,,tvi 20 04 | 20 04,"ainda presença em países como Angola, Brasil, Santo-Mé e Bolivia.",17
