block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,No speech,0.0,0.0,0.0,0.0,0,,,,,,
2,No speech,0.0,0.0,0.0,0.0,0,,,,,,
3,No speech,0.0,0.0,0.0,0.0,0,,,,,,
4,No speech,0.0,0.0,0.0,0.0,0,,,,,,
5,No speech,0.0,0.0,0.0,0.0,0,,,,,,
6,No speech,0.0,0.0,0.0,0.0,0,,,,,,
7,Justiça/Segurança,60.0,0.38461538461538464,156.0,0.9122807017543859,6,"Governo/Partidos, Justiça/Segurança, Greves/Trabalho, Eleições/Campanha, Transportes/Mobilidade, Internacional",,,"1, 2, 3","Dia após dia, o cenário repete, se não era o porto de Lisboa. Longas filas para o controle de fronteiras, os passageiros relatam tempos de espera que o terapáção as três horas. As filas dos últimos dias devem sás falhas no sistema de controle de fronteiras, mas também a falta de policiais. O Governo já reforçou o policiamento, mas o sindicato dos profissionais da PSP diz que não é desta forma que as filas se resolvem. Este sindicato de Nunciá ainda falta de condições no aeroporto de Lisboa. Os passageiros retidos são colocados nesta escama de campanha, que são escondidas quando há visitas de membros do governo ou até do diretor nacional de PSP. A TVI, a direção da Polícia, diz que não comenta declarações de sindicatos. O tempo de espera é Alberto Bonoite neste momento. É de 6 horas filas intermináveis para quem entra em Portugal e está nesse controlo o fronteriço. Ora neste momento há 16 boxos no aeroporto Lisboa, que está na sua capacidade máxima a 16 policias neste ponto dos fronteriços. Aí houve mesma indicação para que a fiscalização do Passaporte. Não fosse tão exigente. O que sabemos é que quando uma pessoa se dirige essa zona entre aí, os documentos, o sistema leva um minutimáio para ler o Passaporte e confirmar esses dados biométricos. Isso tem causado estes constrangimentos no aeroporto. Há dias, por exemplo, sabemos de um caso de um homem que tinha cometido um crime grave no Porto, tentou fugir para o Brasil a través de Lisboa. A situação estava complicada ainda assim. A Polícia conseguiu perceber que tinha um vasto, digamos, cadastro e foi mesmo detido no aeroporto. O melhor é Alberto a quem tem de viajar, traga muita paciência porque o cenário nos próximos dias não irá mudar.","Dia após dia, o cenário repete, se não era o porto de Lisboa. Longas filas para o controle de fronteiras, os passageiros relatam tempos de espera que o terapáção as três horas. As filas dos últimos dias devem sás falhas no sistema de controle de fronteiras, mas também a falta de policiais. O Governo já reforçou o policiamento, mas o sindicato dos profissionais da PSP diz que não é desta forma que as filas se resolvem. Este sindicato de Nunciá ainda falta de condições no aeroporto de Lisboa. Os passageiros retidos são colocados nesta escama de campanha, que são escondidas quando há visitas de membros do governo ou até do diretor nacional de PSP. A TVI, a direção da Polícia, diz que não coment..."
8,Other/Unknown,18.0,1.0,18.0,1.0,1,,,,3,próximos dias não irá mudar.,próximos dias não irá mudar.
9,Eleições/Campanha,30.0,0.45454545454545453,66.0,0.6875,3,Eleições/Campanha,,,"3, 4","próximos dias não irá mudar. e evitar isso. A minha impendência, a minha imparcialidade não está em causa. Mais parco em palavras, Marcelo não quis se alongar em comentários sobre o caso. Essa decisão, post-hermo a um terminado processo em condições específicas aconteceu, se quiserem a peste e se afuncionar. Já quem não quis deixar de comentar foi Pedro Nuno Santos, a polêmica espineu-viva, o Pânio Socialista da Secretário-Jal e marcou a campanha em que se lhe derrotado frente a Montenegro, como tem seu habitual, Pedro Nuno Santos recorreu ao Instagram.","próximos dias não irá mudar. e evitar isso. A minha impendência, a minha imparcialidade não está em causa. Mais parco em palavras, Marcelo não quis se alongar em comentários sobre o caso. Essa decisão, post-hermo a um terminado processo em condições específicas aconteceu, se quiserem a peste e se afuncionar. Já quem não quis deixar de comentar foi Pedro Nuno Santos, a polêmica espineu-viva, o Pânio Socialista da Secretário-Jal e marcou a campanha em que se lhe derrotado frente a Montenegro, como tem seu habitual, Pedro Nuno Santos recorreu ao Instagram."
10,Eleições/Campanha,90.0,0.6666666666666666,135.0,0.6923076923076923,5,"Eleições/Campanha, Economia/Proteção Social",Luís Marques Mendes,,"5, 6, 7, 8","Depois da sefim não viva agora dúvidas sobre as relações empresariais de um candidato presidencial. O dono de uma das principais empresas de construção de civil do país não se lembrava que tinha pago 5 mil euros por mês a marques mentes durante cinco anos em causa um longo contrato para serviços de consultoria numa ligação desconhecida até esta semana. Uma notícia que surge normal, ture em que outros candidatos presidenciais levam-tom dúvidas sobre o passado e as ligações em empresas de marques mentes. O grupo Alberto Coutualves, também conhecido como Oaka, é hoje uma das principais empresas de construção portuguesas, mas há 15 anos era mais desconhecido, o objetivo era crescer e até expandir se fora do país. Os documentos aqui a TVI Tevacesso revelam que a empresa fez um contrato em 2010 com Marques Mendes, 5 mil euros por mês, durante cinco anos, para serviços de consultoria. Cinco anos depois, um novo contrato em 2015 com o objetivo semelhante, mas com a empresa familiar do agora candidato presidencial. para escoar ser várias dúvidas, contactando-se do dono da construtor, Albert Coto-Aluz, que dá numa grupo, consou, por dizer, que conhece Marques Menos há muito tempo, mas garantia que só tinha feito um único contrato que durou um ano, a TV insistiu por escrito. A resposta chegou no dia seguinte. O empresário confirma que Marques Menos trabalhou mesmo durante outros de cinco anos para esta empresa de construção civil. foram cinco mil euros por mês durante cinco anos, 60 meses, mais 13 meses do segundo contrato assinado em 2015, com taxímpoles da mais de 300 mil euros. Em ambos os refredes contratos foi paga a título do honorário-se","Depois da sefim não viva agora dúvidas sobre as relações empresariais de um candidato presidencial. O dono de uma das principais empresas de construção de civil do país não se lembrava que tinha pago 5 mil euros por mês a marques mentes durante cinco anos em causa um longo contrato para serviços de consultoria numa ligação desconhecida até esta semana. Uma notícia que surge normal, ture em que outros candidatos presidenciais levam-tom dúvidas sobre o passado e as ligações em empresas de marques mentes. O grupo Alberto Coutualves, também conhecido como Oaka, é hoje uma das principais empresas de construção portuguesas, mas há 15 anos era mais desconhecido, o objetivo era crescer e até expandi..."
