block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,review_priority
1,00:00,00:03,0.0,3.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,19 53 | jornal nagional,,1,medium
2,00:03,00:06,3.0,6.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,19 53 | 2 976 | tvi 19 53,,2,medium
3,00:06,00:45,6.0,45.0,0.65,Justiça/Segurança,No speech,Justiça/Segurança,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Justiça/Segurança,,,,marcelo hospitalizado adia viagens | tvi marcelo hospitalizado adia viagens | tvi 19 54 | tv 19 54 | 0 754 | homem segue e abalroa ex mulher e filhos | ulher e filhos | porque razão ardeu o carro após,,3,medium
4,00:45,01:00,45.0,60.0,0.25,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,weak_candidate_no_persistence,low,00:57,12.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,01:00,15.0,first_speech_window,,,"Henrique Gouveia e Melo, António Filipe",,tvi 19 54 | debate gouveia e melo e antónio fili | 19 54 | tvi | debate gouveia e melo e antónio filipe | a e melo e antónio filipe | jornal nacional | 1 865,,4,medium
5,01:00,01:03,60.0,63.0,0.05,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,0.0,first_speech_window,,"Saúde, Internacional",,,a televisão feita por si | 19 55,"Boanã que se marceu, o redor de Osoza está a fora de prigo e a recuperar, mas cancelou as visitas da Espanha e ao Vaticano, agendadas para a próxima semana. O presidente da República foi submetido a uma cirurgia de emergência e uma erna encorrelada que teta a após ter sentido fortes dorsabdominais que levaram às urgências do",5,medium
6,01:03,01:15,63.0,75.0,0.2,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,3.0,first_speech_window,,"Saúde, Internacional",,,19 55,"Boanã que se marceu, o redor de Osoza está a fora de prigo e a recuperar, mas cancelou as visitas da Espanha e ao Vaticano, agendadas para a próxima semana. O presidente da República foi submetido a uma cirurgia de emergência e uma erna encorrelada que teta a após ter sentido fortes dorsabdominais que levaram às urgências do",6,medium
7,01:15,02:00,75.0,120.0,0.75,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,15.0,first_speech_window,Saúde,"Saúde, Internacional",,,tvi 19 55 | 1001 | a description of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party | 19 55 | the the property of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the par | a hérnia rara de marcelo,"Boanã que se marceu, o redor de Osoza está a fora de prigo e a recuperar, mas cancelou as visitas da Espanha e ao Vaticano, agendadas para a próxima semana. O presidente da República foi submetido a uma cirurgia de emergência e uma erna encorrelada que teta a após ter sentido fortes dorsabdominais que levaram às urgências do hospital de São João no Porto. Durante 3 horas, o país teve um suspense sem saber se haveria necessidade de substituir o presidente da República pela Segunda figura do Estado.",7,medium
8,02:00,02:06,120.0,126.0,0.1,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,02:00,0.0,"semantic_change_high, volume_change_high",,Saúde,,,portugal | presidente está fora de perigo e a recuperar | a hérnia rara de marcelo | tvi 19 56 | rad | 19 56 | tvi,"e está bem. O risco de infecção é baixo, mas é preciso acima de tudo, cautela. Esta cirurgia foi feita de uma forma muito atempada, ou sem satéis de vir, para curar a cuidar de saúde de uma forma muito oportuna. E, portanto, com o Robán. Estamos a falar já num quadro a outro em que se encontrava o presidente. Sim, mas se tivesse decorrido algumas horas, podia não ser",8,medium
9,02:06,02:48,126.0,168.0,0.7,Internacional,Saúde,Internacional,low_conflict,True,OCR and speech themes conflict.,1.0,1.0,2,weak_candidate_no_persistence,low,02:24,18.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,02:00,6.0,"semantic_change_high, volume_change_high",Internacional,Saúde,,,presidente cancela visitas a espanha e ao vatican | 19 56 | a hérnia rara de marcelo | tvi | raf | presidente cancela visitas a espanha e ao vaticano | tvi 19 56 | radio observado,"e está bem. O risco de infecção é baixo, mas é preciso acima de tudo, cautela. Esta cirurgia foi feita de uma forma muito atempada, ou sem satéis de vir, para curar a cuidar de saúde de uma forma muito oportuna. E, portanto, com o Robán. Estamos a falar já num quadro a outro em que se encontrava o presidente. Sim, mas se tivesse decorrido algumas horas, podia não ser assim. Ainda na cama do hospital, Marcelo já voltou ao trabalho.",9,high
10,02:48,03:03,168.0,183.0,0.25,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,0.8,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,02:30,18.0,"lexical_change_high, volume_change_high",,Saúde,,,tvi presidente a recuperar bem | presidente a recuperar bem | tvi 19 57 | porta | pod | marcelo fez o levante e uma refeição ligeira | presidente não pára | tv i 19 57,"assim. Ainda na cama do hospital, Marcelo já voltou ao trabalho.",10,medium
