block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,review_priority
1,00:00,00:06,0.0,6.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,00:30,30.0,first_speech_window,,,,,a televisão feita por si | 19 55 | jornal nacional | tvi 19 55,,1,medium
2,00:06,00:12,6.0,12.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,00:30,24.0,first_speech_window,,,,,tvi 19 55 | 19 55,,2,medium
6,07:30,07:54,450.0,474.0,0.4,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,candidate_detected,high,07:48,18.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,07:30,0.0,"lexical_change_high, volume_change_high",,,,,tvi 20 02 | 20 02 | jornal nacional | a segu | 2 976 | botija de gás 9 mais cara | tvi 20 03 | cunha automóveis comércio de automóveis tle 251 839 135,"pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos.",6,medium
7,07:54,07:57,474.0,477.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,08:00,6.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high",,,,,20 03 | jornal nacional | tvi 20 03,"pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos.",7,medium
10,14:33,14:36,873.0,876.0,0.05,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,14:00,33.0,"theme_changed, lexical_change_high, semantic_change_high",,"Economia/Proteção Social, Greves/Trabalho",,,20 09 | jornal nacional,"coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha 1.500 euros brutos, recebe mais",12,medium
11,14:36,14:45,876.0,885.0,0.15,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,14:00,36.0,"theme_changed, lexical_change_high, semantic_change_high",Economia/Proteção Social,"Economia/Proteção Social, Greves/Trabalho",,,ies declaração anual de informação contabilística e fiscal | imposto municipal sobre imposto municipal sobre | imposto sobre o valor acrescentado iva | modelos dos pedidos de alteração de morada com retroatividade | 20 09 | cidadania fiscal | imposto municipal sobre imércia | informações de suporte,"coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha 1.500 euros brutos, recebe mais",13,medium
12,14:45,14:51,885.0,891.0,0.1,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,14:00,45.0,"theme_changed, lexical_change_high, semantic_change_high",,"Economia/Proteção Social, Greves/Trabalho",,,tvi 20 09 | 20 10 | jornal nacional | 91111 | maa,"coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha 1.500 euros brutos, recebe mais",14,medium
13,14:51,14:54,891.0,894.0,0.05,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Economia/Proteção Social, Greves/Trabalho",,,20 10 | tvi 20 10,"coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha 1.500 euros brutos, recebe mais",15,medium
16,20:42,20:51,1242.0,1251.0,0.15,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,20:30,12.0,"theme_changed, semantic_change_high",,Eleições/Campanha,,,tvi 20 15 | 20 16 | jornal nacional | tvi 20 16,"Há mudanças curtas, mas são o suficiente para alguns candidatos de mudar a imposição. Vamos lá ver então. Então, nos ver",22,medium
18,21:21,21:27,1281.0,1287.0,0.1,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,21:00,21.0,"lexical_change_high, volume_change_high",,,António José Seguro,,18 9 | 19 2 | otrim figueiredo | 20 16 | 20 7 tvi 9 3 | 118 4 | ant josé seguro | figueiredo,"seguro, construída o primeiro lugar só, obligadamente, está nos 20,7 relativamente ao dia de ondas. Mas depois, govei e mel e andréventura trocam de posições. Não porque andréventura tenha subido ele até de cheio, mas govei e mel o cheio mais relativamente ao dia de ondas dos 19.2 para os 18.3. Curiosidade, ficou agora empatado com o 30-figureto, que está aqui numa rampa de lançamento de disputar o terceiro lugar, exatamente os mesmos pontos que o almeirante govei e mel. Outra nota, marques menos, volta a tecer, ele tinha 15,4 ontem passa",24,medium
