block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks
1,00:00,00:06,0.0,6.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,00:30,30.0,first_speech_window,,,,,a televisão feita por si | 19 55 | jornal nacional | tvi 19 55,,1
2,00:06,00:12,6.0,12.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,00:30,24.0,first_speech_window,,,,,tvi 19 55 | 19 55,,2
3,00:12,02:24,12.0,144.0,2.2,Saúde,Saúde,Saúde,high,False,,0.864,0.526,4,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,00:30,18.0,first_speech_window,"Saúde, Ambiente/Meteorologia/Proteção Civil",Saúde,,,tvi 19 55 | pressão no sns | 19 55 | jornal nacional | cuidados intensivos com lotação de 80 | 9 55 | jornal iacional | tvi,"em que temos uma crescimento de cuidados intensivos por gripa de 7,5% comparativamente a semana anterior, 51. E temos aqui uma taxa de incidência de infeções respiratórias agluda e gravos de 7,9% mil habitantes, tanto aqui uma gravidade relativamente ao número de doentes internados e em faixas etárias acima de tudo. Cancelamento de atividade cirurgica não urgente programada. Nós mantemos neste momento atividade cirurgia dos oncológicos para manteremmos a segurança dos uentes e o comprimento dos sempre máximos a resposta garantida. Reforçamos as equipos de urgência, reforçamos as equipos de prevenção, na turna e de fim de semana, de forma também ágilizar e aumentar o acompanhamento destes dos...",3
4,02:24,06:24,144.0,384.0,4.0,Saúde,Saúde,Saúde,high,False,,1.0,0.75,9,candidate_detected,high,02:48,24.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,02:30,6.0,"new_theme_after_unknown, semantic_change_high, volume_change_high","Saúde, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho","Saúde, Greves/Trabalho, Ambiente/Meteorologia/Proteção Civil",,,hospital de braga ativa plano de contingência nível 3 | 19 57 | frio faz disparar a gripe | tvi 19 57 | alarms | back | ruto | jornal nacional,"também ágilizar e aumentar o acompanhamento destes dos uentes com a mais gravidade. Tivemos uma necessidade de aumentar o número de camas de reta guarda para uma melhor gestão dos uentes e aumentar a resposta da doença aguda nos escorados sobre primários tendo enquanto a que realmente a nossa lutação está acima de 95%. Tende a en conta o número de internamentos e de duentes infectados. Portugal já terá a tigido pico da gripe, mas os especialistas não descartam uma nova vaga da doença. O documento que a Xavier e Senha em Portugal teve acesso dá conta das cálidos médicos deste mês entre os serviços de urgência básica no Algarve, Lollé, Alpefeira e Villalde Santantonio, a Curamarela corresponde...",4
5,06:24,07:30,384.0,450.0,1.1,Ambiente/Meteorologia/Proteção Civil,Ambiente/Meteorologia/Proteção Civil,Ambiente/Meteorologia/Proteção Civil,high,False,,1.0,0.091,3,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:30,6.0,"lexical_change_high, volume_change_high","Saúde, Ambiente/Meteorologia/Proteção Civil",Ambiente/Meteorologia/Proteção Civil,,,condições económicas e frio são possíveis causas | 20 01 | mortalidade em portugal | tvi | condições económicas e frio são possíveis causas bernardo gomes i pres ass médicos de saúde pública | condições económicas e frio são possíveis causas bernardo gomes pres ass médicos de saúde pública | bernardo gomes i pres ass médicos de saúde pública | jornal nacional,"485 óbitos, valores 37% acima do esperado. Um dos problemas prende-se com a pobreza energética. Somos considerado um país conclima a meno, mas no inverno é um dos que se passa mais frio em casa com custos de letra cidade muito altos em comparação com outros países da Europa. Não só por presidência energética, uma tendência só se econômica, mais vulnerable também entre os menores a raziliência, digamos mesmo, de um ponto de vista nutricional, de hábil e a desresuelência crânica e coisas associadas que fazem com pessoas também, também que não são propriamente conhecidas por ter dificuldade da SES. Por exemplo, as serviços são mais uma vez, também estamos fortos nas países especialmente emvelhe...",5
6,07:30,07:54,450.0,474.0,0.4,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,candidate_detected,high,07:48,18.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,07:30,0.0,"lexical_change_high, volume_change_high",,,,,tvi 20 02 | 20 02 | jornal nacional | a segu | 2 976 | botija de gás 9 mais cara | tvi 20 03 | cunha automóveis comércio de automóveis tle 251 839 135,"pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos.",6
7,07:54,07:57,474.0,477.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,08:00,6.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high",,,,,20 03 | jornal nacional | tvi 20 03,"pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos.",7
8,07:57,13:57,477.0,837.0,6.0,Justiça/Segurança,Justiça/Segurança,Justiça/Segurança,high,False,,1.0,0.583,13,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,08:00,3.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high","Justiça/Segurança, Internacional","Internacional, Transportes/Mobilidade, Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil, Governo/Partidos, Saúde",,,tvi acidente mortal em frança | acidente mortal em frança | tvi 20 03 | 20 03 | jornal nacional | duas pessoas morreram e há dezenas de feridos | macronal | tvi,"pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos. São algumas das imagens que nos chegam do choca em cadeia, que aconteceu perto de bordelhos e envolviam cerca de uma centena de viaturas entre elas dois autocarros de matrícula portuguesa. O relógio marcava a sete da manhã em França, quando uma autocarro da Flixbass será travado para evitar o trânsito parado, ao fazer, ele foi atingido por trás por um outro autocarro da empresa Oveniture. Um acidente que provocou pelo menos duas mortes deixou mais de 50 pessoas feridas, algumas com gravidade, uma delas portuguesa. Relátus de cain por lá passou, referem a pouca aderen...","8, 9"
9,13:57,14:33,837.0,873.0,0.6,Economia/Proteção Social,Economia/Proteção Social,Economia/Proteção Social,high,False,,1.0,0.917,3,candidate_detected,high,14:15,18.0,5,"body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline, body_zone_changed",True,14:00,3.0,"theme_changed, lexical_change_high, semantic_change_high","Economia/Proteção Social, Habitação","Saúde, Economia/Proteção Social, Greves/Trabalho",,,gram | 140 | 20 09 | 110 | novas tabelas de irs | tvi 20 09 | jornal nacional | quem ganha até 920 por mês fica isento de descontos,"Fica também em cognitácia o advogado José Preto já estará com condições de saúde para estar presentes, a intribunal. O Dia de Reis vem com um presente especial para que enganhem até 920 euros por mês. Agora ficam os entos de RES, todos os trabalhadores e pensionistas que ganham o equivalente ao salário iminho, qualquer coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha...","10, 11"
10,14:33,14:36,873.0,876.0,0.05,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,14:00,33.0,"theme_changed, lexical_change_high, semantic_change_high",,"Economia/Proteção Social, Greves/Trabalho",,,20 09 | jornal nacional,"coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha 1.500 euros brutos, recebe mais",12
