block_id,ocr_start_sec,ocr_end_sec,ocr_start_time,ocr_end_time,ocr_duration_sec,ocr_duration_min,window_id,speech_start_sec,speech_end_sec,speech_start_time,speech_end_time,speech_duration_sec,overlap_sec,overlap_ratio_of_ocr_block,overlap_ratio_of_speech_window,ocr_theme,ocr_themes_present,ocr_text,speech_theme,speech_themes_present,speech_candidates_present,speech_parties_present,speech_text,speech_source_segments,speech_transition_reason
3,12.0,144.0,00:12,02:24,132.0,2.2,1,30.0,60.0,00:30,01:00,30.0,30.0,0.22727272727272727,1.0,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil",tvi 19 55 | pressão no sns | 19 55 | jornal nacional | cuidados intensivos com lotação de 80 | 9 55 | jornal iacional | tvi,Other/Unknown,,,,"em que temos uma crescimento de cuidados intensivos por gripa de 7,5% comparativamente a semana anterior, 51.",1,
3,12.0,144.0,00:12,02:24,132.0,2.2,2,60.0,90.0,01:00,01:30,30.0,30.0,0.22727272727272727,1.0,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil",tvi 19 55 | pressão no sns | 19 55 | jornal nacional | cuidados intensivos com lotação de 80 | 9 55 | jornal iacional | tvi,Saúde,Saúde,,,"E temos aqui uma taxa de incidência de infeções respiratórias agluda e gravos de 7,9% mil habitantes, tanto aqui uma gravidade relativamente ao número de doentes internados e em faixas etárias acima de tudo.",1,
3,12.0,144.0,00:12,02:24,132.0,2.2,3,90.0,120.0,01:30,02:00,30.0,30.0,0.22727272727272727,1.0,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil",tvi 19 55 | pressão no sns | 19 55 | jornal nacional | cuidados intensivos com lotação de 80 | 9 55 | jornal iacional | tvi,Saúde,Saúde,,,"Cancelamento de atividade cirurgica não urgente programada. Nós mantemos neste momento atividade cirurgia dos oncológicos para manteremmos a segurança dos uentes e o comprimento dos sempre máximos a resposta garantida. Reforçamos as equipos de urgência, reforçamos as equipos de prevenção, na turna e de fim de semana, de forma",2,
3,12.0,144.0,00:12,02:24,132.0,2.2,4,120.0,150.0,02:00,02:30,30.0,24.0,0.18181818181818182,0.8,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil",tvi 19 55 | pressão no sns | 19 55 | jornal nacional | cuidados intensivos com lotação de 80 | 9 55 | jornal iacional | tvi,Other/Unknown,,,,"também ágilizar e aumentar o acompanhamento destes dos uentes com a mais gravidade. Tivemos uma necessidade de aumentar o número de camas de reta guarda para uma melhor gestão dos uentes e aumentar a resposta da doença aguda nos escorados sobre primários tendo enquanto a que realmente a nossa lutação está acima de 95%. Tende a en conta o número de internamentos e de duentes infectados. Portugal já terá a tigido pico da gripe, mas os especialistas não descartam uma nova",2,
4,144.0,384.0,02:24,06:24,240.0,4.0,4,120.0,150.0,02:00,02:30,30.0,6.0,0.025,0.2,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho",hospital de braga ativa plano de contingência nível 3 | 19 57 | frio faz disparar a gripe | tvi 19 57 | alarms | back | ruto | jornal nacional,Other/Unknown,,,,"também ágilizar e aumentar o acompanhamento destes dos uentes com a mais gravidade. Tivemos uma necessidade de aumentar o número de camas de reta guarda para uma melhor gestão dos uentes e aumentar a resposta da doença aguda nos escorados sobre primários tendo enquanto a que realmente a nossa lutação está acima de 95%. Tende a en conta o número de internamentos e de duentes infectados. Portugal já terá a tigido pico da gripe, mas os especialistas não descartam uma nova",2,
4,144.0,384.0,02:24,06:24,240.0,4.0,5,150.0,180.0,02:30,03:00,30.0,30.0,0.125,1.0,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho",hospital de braga ativa plano de contingência nível 3 | 19 57 | frio faz disparar a gripe | tvi 19 57 | alarms | back | ruto | jornal nacional,Saúde,Saúde,,,vaga da doença. O documento que a Xavier e Senha em Portugal teve acesso dá conta das cálidos médicos deste mês entre os serviços de urgência básica,"2, 3",
4,144.0,384.0,02:24,06:24,240.0,4.0,6,180.0,210.0,03:00,03:30,30.0,30.0,0.125,1.0,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho",hospital de braga ativa plano de contingência nível 3 | 19 57 | frio faz disparar a gripe | tvi 19 57 | alarms | back | ruto | jornal nacional,Saúde,Saúde,,,"no Algarve, Lollé, Alpefeira e Villalde Santantonio, a Curamarela corresponde aos turnos por preencher. Em Alpefeira, registamos parte 20 de Lollé, quase 30. E é precisamente a Lollé, onde se registam dois períodos em que não há no médico escalado. A deste janeiro entre 18 noito e 18 também há, mas também no último dia do mês, entre 18 A questão dos centros de","3, 4",
4,144.0,384.0,02:24,06:24,240.0,4.0,7,210.0,240.0,03:30,04:00,30.0,30.0,0.125,1.0,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho",hospital de braga ativa plano de contingência nível 3 | 19 57 | frio faz disparar a gripe | tvi 19 57 | alarms | back | ruto | jornal nacional,Saúde,Saúde,,,"saúde, o questão dos cultados de milionários, que são a primeira porta para os nossos setentes, que nasou na sul, estamos às vezes aolar de uma percentile de 25% do plasidão, sem médicos de família. A TVC, em Portugal, procurou explicações junto da unidade local do Saúde do Algarve. Neste momento, a unidade local do Saúde do Algarve se pode garantir que não se perspetivam falhas de serviço em nenhuma das unidades de saúde do",4,
4,144.0,384.0,02:24,06:24,240.0,4.0,8,240.0,270.0,04:00,04:30,30.0,30.0,0.125,1.0,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho",hospital de braga ativa plano de contingência nível 3 | 19 57 | frio faz disparar a gripe | tvi 19 57 | alarms | back | ruto | jornal nacional,Saúde,"Saúde, Greves/Trabalho",,,"Algarve. Já o sindicato independentos médicos fala num problema crônico do serviço nacional de saúde e não só no sul, Lisboa e Valdo Tejo em outras das regiões mais afetadas. Há vários hospicanhos, o preenchimento da escala é quase na vez para o dia anterior. É cada vez uma realidade mais frequente desde logo nesta altura. Já deveria ter aberto vários concursos que não estão a","4, 5",
4,144.0,384.0,02:24,06:24,240.0,4.0,9,270.0,300.0,04:30,05:00,30.0,30.0,0.125,1.0,Saúde,"Saúde, Ambiente/Meteorologia/Proteção Civil, Greves/Trabalho",hospital de braga ativa plano de contingência nível 3 | 19 57 | frio faz disparar a gripe | tvi 19 57 | alarms | back | ruto | jornal nacional,Saúde,Saúde,,,"abrir os concursos para consultora. Por outro lado, osítios onde há carências de médicos deviam ter constantemente a vaga e a aberto.",5,
