block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,No speech,0.0,0.0,0.0,0.0,0,,,,,,
2,No speech,0.0,0.0,0.0,0.0,0,,,,,,
3,Saúde,60.0,0.5263157894736842,114.0,0.8636363636363636,4,Saúde,,,"1, 2","em que temos uma crescimento de cuidados intensivos por gripa de 7,5% comparativamente a semana anterior, 51. E temos aqui uma taxa de incidência de infeções respiratórias agluda e gravos de 7,9% mil habitantes, tanto aqui uma gravidade relativamente ao número de doentes internados e em faixas etárias acima de tudo. Cancelamento de atividade cirurgica não urgente programada. Nós mantemos neste momento atividade cirurgia dos oncológicos para manteremmos a segurança dos uentes e o comprimento dos sempre máximos a resposta garantida. Reforçamos as equipos de urgência, reforçamos as equipos de prevenção, na turna e de fim de semana, de forma também ágilizar e aumentar o acompanhamento destes dos uentes com a mais gravidade. Tivemos uma necessidade de aumentar o número de camas de reta guarda para uma melhor gestão dos uentes e aumentar a resposta da doença aguda nos escorados sobre primários tendo enquanto a que realmente a nossa lutação está acima de 95%. Tende a en conta o número de internamentos e de duentes infectados. Portugal já terá a tigido pico da gripe, mas os especialistas não descartam uma nova","em que temos uma crescimento de cuidados intensivos por gripa de 7,5% comparativamente a semana anterior, 51. E temos aqui uma taxa de incidência de infeções respiratórias agluda e gravos de 7,9% mil habitantes, tanto aqui uma gravidade relativamente ao número de doentes internados e em faixas etárias acima de tudo. Cancelamento de atividade cirurgica não urgente programada. Nós mantemos neste momento atividade cirurgia dos oncológicos para manteremmos a segurança dos uentes e o comprimento dos sempre máximos a resposta garantida. Reforçamos as equipos de urgência, reforçamos as equipos de prevenção, na turna e de fim de semana, de forma também ágilizar e aumentar o acompanhamento destes dos..."
4,Saúde,180.0,0.75,240.0,1.0,9,"Saúde, Greves/Trabalho, Ambiente/Meteorologia/Proteção Civil",,,"2, 3, 4, 5, 6, 7","também ágilizar e aumentar o acompanhamento destes dos uentes com a mais gravidade. Tivemos uma necessidade de aumentar o número de camas de reta guarda para uma melhor gestão dos uentes e aumentar a resposta da doença aguda nos escorados sobre primários tendo enquanto a que realmente a nossa lutação está acima de 95%. Tende a en conta o número de internamentos e de duentes infectados. Portugal já terá a tigido pico da gripe, mas os especialistas não descartam uma nova vaga da doença. O documento que a Xavier e Senha em Portugal teve acesso dá conta das cálidos médicos deste mês entre os serviços de urgência básica no Algarve, Lollé, Alpefeira e Villalde Santantonio, a Curamarela corresponde aos turnos por preencher. Em Alpefeira, registamos parte 20 de Lollé, quase 30. E é precisamente a Lollé, onde se registam dois períodos em que não há no médico escalado. A deste janeiro entre 18 noito e 18 também há, mas também no último dia do mês, entre 18 A questão dos centros de saúde, o questão dos cultados de milionários, que são a primeira porta para os nossos setentes, que nasou na sul, estamos às vezes aolar de uma percentile de 25% do plasidão, sem médicos de família. A TVC, em Portugal, procurou explicações junto da unidade local do Saúde do Algarve. Neste momento, a unidade local do Saúde do Algarve se pode garantir que não se perspetivam falhas de serviço em nenhuma das unidades de saúde do Algarve. Já o sindicato independentos médicos fala num problema crônico do serviço nacional de saúde e não só no sul, Lisboa e Valdo Tejo em outras das regiões mais afetadas. Há vários hospicanhos, o preenchimento da escala é quase na vez para o dia anterior. É cada vez uma realidade mais frequente desde logo nesta altura. Já deveria ter aberto vários concursos que não estão a abrir os concursos para consultora. Por outro lado, osítios onde há carências de médicos deviam ter constantemente a vaga e a aberto. Tudo isso contribui para um valor que merece reflexão desde a almenes que morrem mais de 460 as pessoas por dia em Portugal. É um número acima do normal e prolonga-se a várias semanas. Ao sessão nacional de saúde pública, avançar com algumas explicações, o novo vírus da gripe, as temperaturas muito baixas e as condições económicas e o invilcimento da população. Há 26 dias consecutivos que morrem mais de 400 pessoas por dia em Portugal. Os dias 27 de dezembro e 2 de janeiro ultrapassaram os 485 óbitos, valores 37% acima do esperado. Um dos problemas prende-se com a pobreza energética. Somos considerado um país conclima a meno, mas no inverno é um dos que se passa mais frio em casa com custos de letra cidade muito altos em comparação com outros países da Europa. Não só por presidência energética, uma tendência só se econômica, mais vulnerable também entre os menores a raziliência, digamos mesmo, de um ponto de vista nutricional,","também ágilizar e aumentar o acompanhamento destes dos uentes com a mais gravidade. Tivemos uma necessidade de aumentar o número de camas de reta guarda para uma melhor gestão dos uentes e aumentar a resposta da doença aguda nos escorados sobre primários tendo enquanto a que realmente a nossa lutação está acima de 95%. Tende a en conta o número de internamentos e de duentes infectados. Portugal já terá a tigido pico da gripe, mas os especialistas não descartam uma nova vaga da doença. O documento que a Xavier e Senha em Portugal teve acesso dá conta das cálidos médicos deste mês entre os serviços de urgência básica no Algarve, Lollé, Alpefeira e Villalde Santantonio, a Curamarela corresponde..."
5,Ambiente/Meteorologia/Proteção Civil,6.0,0.09090909090909091,66.0,1.0,3,Ambiente/Meteorologia/Proteção Civil,,,"7, 8","485 óbitos, valores 37% acima do esperado. Um dos problemas prende-se com a pobreza energética. Somos considerado um país conclima a meno, mas no inverno é um dos que se passa mais frio em casa com custos de letra cidade muito altos em comparação com outros países da Europa. Não só por presidência energética, uma tendência só se econômica, mais vulnerable também entre os menores a raziliência, digamos mesmo, de um ponto de vista nutricional, de hábil e a desresuelência crânica e coisas associadas que fazem com pessoas também, também que não são propriamente conhecidas por ter dificuldade da SES. Por exemplo, as serviços são mais uma vez, também estamos fortos nas países especialmente emvelhecidas, juntamente com condições climatéricas mais difíceis, porquarem também nós agravamos que nos vão nos valentejar. E existe também esses fenómenos de vulnerabilidade social, mas também existe também o outro tipo de condições climatéricas que fazem como que não seja tão intenso e estímido, sugo do ligamos neste autor humano. Em 2025, morreram 111.974","485 óbitos, valores 37% acima do esperado. Um dos problemas prende-se com a pobreza energética. Somos considerado um país conclima a meno, mas no inverno é um dos que se passa mais frio em casa com custos de letra cidade muito altos em comparação com outros países da Europa. Não só por presidência energética, uma tendência só se econômica, mais vulnerable também entre os menores a raziliência, digamos mesmo, de um ponto de vista nutricional, de hábil e a desresuelência crânica e coisas associadas que fazem com pessoas também, também que não são propriamente conhecidas por ter dificuldade da SES. Por exemplo, as serviços são mais uma vez, também estamos fortos nas países especialmente emvelhe..."
6,Other/Unknown,24.0,1.0,24.0,1.0,1,,,,8,"pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos.","pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos."
7,Other/Unknown,3.0,1.0,3.0,1.0,1,,,,8,"pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos.","pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos."
8,Justiça/Segurança,210.0,0.5833333333333334,360.0,1.0,13,"Internacional, Transportes/Mobilidade, Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil, Governo/Partidos, Saúde",,"CHEGA, PS","8, 9, 10, 11, 12, 13, 14, 15","pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos. São algumas das imagens que nos chegam do choca em cadeia, que aconteceu perto de bordelhos e envolviam cerca de uma centena de viaturas entre elas dois autocarros de matrícula portuguesa. O relógio marcava a sete da manhã em França, quando uma autocarro da Flixbass será travado para evitar o trânsito parado, ao fazer, ele foi atingido por trás por um outro autocarro da empresa Oveniture. Um acidente que provocou pelo menos duas mortes deixou mais de 50 pessoas feridas, algumas com gravidade, uma delas portuguesa. Relátus de cain por lá passou, referem a pouca aderencia da estrada devido ao gelo e à queda de neve. queia uma tempestada pequena, mas com o frio fez com o fijo lá, de tudo. A estrada gelou completamente, viu um pequeno acidente, entre dois carros, e me tiu pê, ligeiramente ao trabalho e o caminhão foi sempre não queria parar. Ora, aí, como os outros também foram enganados, foram, como as todas, apanhadas da surpresa. Em comunicado, a Flixba se confirma a morte de uma das 45 pessoas que o autocar transportava, a outra vítima mortal será um passageiro do autocarro de aovenitur, mas, de acordo com o ministério dos negócios estrangeiros, nenhuma destas vítimas é de nacionalidade portuguesa. A Flixbaça diante ainda que, apesar das condições metrológicas adversas em França, este trouxe da Radovia a 63, não estava abrangido, pelas restrições de trânsito emitidas plas autoridades francesas. Certo é que este acidente Radoviário não foi o único deste amanhã. Os órgãos de comunicação social francesas falam no total a emplumenos três mortes. A mais uma surpresa na saga do julgamento do operação Marquês, o novo advogado dos S Sócrates foi hospitalizado e não tem previsão de alta. O Tribunal decidiu manter as reações e chamou-lo duas advogadas oficosas para representarem o antigo primeiro ministro. Ambas recusaram a tarefa, mas a juíza presidente determinou que uma delas garante de facto, a defesa de Sócrates e a próxima seção foi agendada para segunda-feira. É até prestado perfeita contra o normal funcionamento da justiça, o julgamento da operação Marqueis, voltou a ser adiado, advogado que representam o antigo Primeiro Ministro, foi internado no hospital de Santa Maria com uma peneumonia. José Preto informou o tribunal, mas não no meu único representante, a juiza tinha duas hipóteses, ou suspendi o julgamento, ou chamava um defensor do Estado foi o que aconteceu. Isso é uma caricatura distisou que está a acontecer, é muito sério e deve ser elevado a série. por uma razão simples e evidente que espera toda a gente compreenda, o processo tem mais de 300 mil páginas. Ainda a sessão não tinha começado e a advogada oficiosa já se tinha recusado a representar José Sócrates. O motivo é militante do chega. Fui o baita duas vezes veridor por um determinado partido político, do qual, nesta não hábit essas moções, que tem sido bastan...","pessoas, mais 5 mil, do que as registadas em 2024, dezembro e janeiro foram os mensos onde ocorreram o maior número de óbitos. São algumas das imagens que nos chegam do choca em cadeia, que aconteceu perto de bordelhos e envolviam cerca de uma centena de viaturas entre elas dois autocarros de matrícula portuguesa. O relógio marcava a sete da manhã em França, quando uma autocarro da Flixbass será travado para evitar o trânsito parado, ao fazer, ele foi atingido por trás por um outro autocarro da empresa Oveniture. Um acidente que provocou pelo menos duas mortes deixou mais de 50 pessoas feridas, algumas com gravidade, uma delas portuguesa. Relátus de cain por lá passou, referem a pouca aderen..."
9,Economia/Proteção Social,33.0,0.9166666666666666,36.0,1.0,3,"Saúde, Economia/Proteção Social, Greves/Trabalho",,,"15, 16","Fica também em cognitácia o advogado José Preto já estará com condições de saúde para estar presentes, a intribunal. O Dia de Reis vem com um presente especial para que enganhem até 920 euros por mês. Agora ficam os entos de RES, todos os trabalhadores e pensionistas que ganham o equivalente ao salário iminho, qualquer coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha 1.500 euros brutos, recebe mais","Fica também em cognitácia o advogado José Preto já estará com condições de saúde para estar presentes, a intribunal. O Dia de Reis vem com um presente especial para que enganhem até 920 euros por mês. Agora ficam os entos de RES, todos os trabalhadores e pensionistas que ganham o equivalente ao salário iminho, qualquer coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha..."
10,Economia/Proteção Social,3.0,1.0,3.0,1.0,1,"Economia/Proteção Social, Greves/Trabalho",,,16,"coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha 1.500 euros brutos, recebe mais","coisa como 12.880 euros anuais. Deis a insenção para o alívio dos descontos, há descidas das taxas do segundo ao quinto de escalões, bem com uma atualização em cerca de 13,5% dos novos escalões de reinimento. Querem estudiar que com as novas tabelas, um trabalhador com um salário de 1.200 euros brutos solteiro e sem filhos, passa a receber mais 12 euros ao fim do mês, se ganha 1.500 euros brutos, recebe mais"
