block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,No speech,0.0,0.0,0.0,0.0,0,,,,,,
2,Other/Unknown,6.0,1.0,6.0,0.18181818181818182,1,,,,1,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais","O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais"
3,Other/Unknown,6.0,1.0,6.0,1.0,1,,,,1,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais","O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais"
4,Other/Unknown,3.0,1.0,3.0,1.0,1,,,,1,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais","O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais"
5,Other/Unknown,45.0,1.0,45.0,1.0,2,,,,1,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais do país. Os supeitos roubavam produtos de grandes especificis e depois vendiam-nos no mercado paralel. Chegavam levar para telelas inteiras como mostram as imagens de vídeo e a vigilância que tivemos acesso.","O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais do país. Os supeitos roubavam produtos de grandes especificis e depois vendiam-nos no mercado paralel. Chegavam levar para telelas inteiras como mostram as imagens de vídeo e a vigilância que tivemos acesso."
6,Justiça/Segurança,84.0,1.0,84.0,1.0,3,"Governo/Partidos, Justiça/Segurança",,,"2, 3","Há um desenvolvimento surpreendente no processo de influência que levou à queda do Governo. O Ministério Público manteu durante cinco anos, escutas telefónicas envolvendo o António Costa sem as enviar ao Tribunal, a pesar de aler e obrigar a sua validação no práso máximo de 48 horas. As gravações incluem 22 conversas entre o então primeiro-ministro e três dos visados do operação em fluência. De acordo com o diário de notícias, as infeciações ocorreram entre 2020 e 2022, mas só foram entregues ao Supremo Tribunal de Justiça em outubro, o que faz com que possam vida ser consideradas prova proibida. A operação em fluência não investiga a ligada de escrimos de corrupção, tráfico de influência e pervaricação, relacionado com os projetos de letio hidrogênio e o data centre de cinas, o caso, como sabemos, levou à queda do Governo de António, o António Costa, que mais de dois anos depois não foi constituído para o guiido e continua sem ter acesso ao processo. A justiça está no topo da atualidade, José só que desvolta em forcer-se com a juiza da operação Marqueja. Depois de sosa","Há um desenvolvimento surpreendente no processo de influência que levou à queda do Governo. O Ministério Público manteu durante cinco anos, escutas telefónicas envolvendo o António Costa sem as enviar ao Tribunal, a pesar de aler e obrigar a sua validação no práso máximo de 48 horas. As gravações incluem 22 conversas entre o então primeiro-ministro e três dos visados do operação em fluência. De acordo com o diário de notícias, as infeciações ocorreram entre 2020 e 2022, mas só foram entregues ao Supremo Tribunal de Justiça em outubro, o que faz com que possam vida ser consideradas prova proibida. A operação em fluência não investiga a ligada de escrimos de corrupção, tráfico de influência e ..."
7,Justiça/Segurança,66.0,0.5238095238095238,126.0,1.0,5,"Governo/Partidos, Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",,,"2, 3, 4","e pervaricação, relacionado com os projetos de letio hidrogênio e o data centre de cinas, o caso, como sabemos, levou à queda do Governo de António, o António Costa, que mais de dois anos depois não foi constituído para o guiido e continua sem ter acesso ao processo. A justiça está no topo da atualidade, José só que desvolta em forcer-se com a juiza da operação Marqueja. Depois de sosa na seca ter classificado a renúncia do advogado que sempre o defendeu, peda-se lile como uma manobra de elatoria para atrasar os ligamentos, o antigo PM Ministro escreveu-lo mais uma carta. Nela diz que foi o Estado e não ele queimar-se usou manobras de elatorias para o prejudicar. e resposta de José Sócrates, a João Sosa Naseca, que o acusou de manobras dilatorias por causa da renúncia do seu advogado. Numa carta enviada a João Sosa Naseca, do processo de operação marquês, o antigo primeiro ministro diz o offendido, porque é falso e injusto que a renúncia tenha sido uma manobra dilatoria e acusou a João Sosa de Parcialidade. João Sosa<|pt|> Commission, grande que ele é a decisão de Pedro de Lille, porque diz, perde-se com a saída do seu advogado, porque é difícil substituí-lo dado o conhecimento que tem do processo. O antigo chefe do governo devolve as acusações e acusou estado de ter promovido, ao longo dos últimos dez anos, várias manobras dilatorias que o prejudicaram. E por isso, peda que o tribunal não atropelam os seus direitos, em nome do que diz ser uma pressa que ele tenha sido imposta pelas manobras dilatorias. Sócrates critica ainda os esclarcimentos do tribunal via com o seu superior da magistratura aos jornalistas sobre os crimes de corrupção ativa, relativos a Valdo Lobo, que vão prescrever no primeiro semestre de 2006. Fala, num comportamento afrontoso aos direitos da defesa, por não ter sido discutido, este tema em audiência de julgamento e acrescenta que o mesmo não se faz nos jornais. Sócrates, pedo por isso, a juiza que ele seja entrega os esclarcimentos dado pelo tribunal aos jornalistas. O julgamento da opressão marquês está suspensu até dezembro até o antigo primeiro ministro, nomear o novo advogado.","e pervaricação, relacionado com os projetos de letio hidrogênio e o data centre de cinas, o caso, como sabemos, levou à queda do Governo de António, o António Costa, que mais de dois anos depois não foi constituído para o guiido e continua sem ter acesso ao processo. A justiça está no topo da atualidade, José só que desvolta em forcer-se com a juiza da operação Marqueja. Depois de sosa na seca ter classificado a renúncia do advogado que sempre o defendeu, peda-se lile como uma manobra de elatoria para atrasar os ligamentos, o antigo PM Ministro escreveu-lo mais uma carta. Nela diz que foi o Estado e não ele queimar-se usou manobras de elatorias para o prejudicar. e resposta de José Sócrates,..."
8,Saúde,33.0,1.0,33.0,1.0,2,Saúde,,,5,"Os autentes do serviço nacional de saúde estão a caixar-se cada vez mais da discriminação quando têm de recorrer a serviços de saúde privados. Este é nos reclamações, esperaram. Vão a caminho de uma centena as caixas feitas à RES, a entidade reguladora da saúde. No ano passado foram registadas 77 reclamações no total do ano. As caixas têm a ver com acesso a exames, análises e tratamentos a centros privados. Segundo a RES, a dificuldades na marcação e realização de exames como oicografias, mamografias, ressonâncias, tac, tratamentos de reablitação como o fisiotrapia. As vagas e assistentes nos centros privados para os autentes do SNS podem levar a uma espera de três a quatro meses. A entidade reguladora da saúde lançou um alerta em outubro ao hospitador","Os autentes do serviço nacional de saúde estão a caixar-se cada vez mais da discriminação quando têm de recorrer a serviços de saúde privados. Este é nos reclamações, esperaram. Vão a caminho de uma centena as caixas feitas à RES, a entidade reguladora da saúde. No ano passado foram registadas 77 reclamações no total do ano. As caixas têm a ver com acesso a exames, análises e tratamentos a centros privados. Segundo a RES, a dificuldades na marcação e realização de exames como oicografias, mamografias, ressonâncias, tac, tratamentos de reablitação como o fisiotrapia. As vagas e assistentes nos centros privados para os autentes do SNS podem levar a uma espera de três a quatro meses. A entidade..."
9,Saúde,3.0,1.0,3.0,1.0,1,Saúde,,,5,"foram registadas 77 reclamações no total do ano. As caixas têm a ver com acesso a exames, análises e tratamentos a centros privados. Segundo a RES, a dificuldades na marcação e realização de exames como oicografias, mamografias, ressonâncias, tac, tratamentos de reablitação como o fisiotrapia. As vagas e assistentes nos centros privados para os autentes do SNS podem levar a uma espera de três a quatro meses. A entidade reguladora da saúde lançou um alerta em outubro ao hospitador","foram registadas 77 reclamações no total do ano. As caixas têm a ver com acesso a exames, análises e tratamentos a centros privados. Segundo a RES, a dificuldades na marcação e realização de exames como oicografias, mamografias, ressonâncias, tac, tratamentos de reablitação como o fisiotrapia. As vagas e assistentes nos centros privados para os autentes do SNS podem levar a uma espera de três a quatro meses. A entidade reguladora da saúde lançou um alerta em outubro ao hospitador"
10,Justiça/Segurança,90.0,0.5769230769230769,156.0,1.0,6,"Saúde, Justiça/Segurança, Economia/Proteção Social",,,"5, 6, 7","foram registadas 77 reclamações no total do ano. As caixas têm a ver com acesso a exames, análises e tratamentos a centros privados. Segundo a RES, a dificuldades na marcação e realização de exames como oicografias, mamografias, ressonâncias, tac, tratamentos de reablitação como o fisiotrapia. As vagas e assistentes nos centros privados para os autentes do SNS podem levar a uma espera de três a quatro meses. A entidade reguladora da saúde lançou um alerta em outubro ao hospitador de serviços convencionados a lembrar que a discriminação de autentes é a prohibida a resposta do presidente da Associação Pressogeza da Hospitalização Privada. Foi feita por escrito. A médica de tida por fraude na prescrição de milhares de receitas de aos MPC, saiu do Tribunal em liberdade, com uma caução de 500 mil euros. Graça Vargas cobrava 140 euros por consulta e trausado o Estado em cerca de 3 milhões. O esquema que passava por perque severo, um medicamento para diabetes, é o tentas que criam apenas perder peso, envolvia também o seu companheiro de devogado, de profissão e outra médica. O Toque mágico para perder peso estava só a distância de uma chamada, de acordo com o jornal observador que teve acesso ao despacho de indiciação de o Ministério Público, o telefone tocava na clínica essência do outro lado da linha, a busca por uma consulta com endocrinologista Graça Vargas. Mas a primeira seria, com uma outra médica também envolvida no esquema, com a garantia mesmo assim de que o paciente teria acesso à medicação para emagrecer. No caso, aos impic, truliceti ou victosa. Nessa mesma chamada, o aviso, o pagamento da consulta teria de ser feito em numerário ou cheque, as autoridades terão percebido através de escutas que não havia sequer multibenco. Mas vemos aos preços de uma primeira consulta, custava ao paciente 160 euros, as que viriam a seguir 140. Tudo para aceleram medicamento, o que custa 120 euros sem comparticipação, mas nem 11 euros se for prescrito por um médico. E já que estamos nos números, os que","foram registadas 77 reclamações no total do ano. As caixas têm a ver com acesso a exames, análises e tratamentos a centros privados. Segundo a RES, a dificuldades na marcação e realização de exames como oicografias, mamografias, ressonâncias, tac, tratamentos de reablitação como o fisiotrapia. As vagas e assistentes nos centros privados para os autentes do SNS podem levar a uma espera de três a quatro meses. A entidade reguladora da saúde lançou um alerta em outubro ao hospitador de serviços convencionados a lembrar que a discriminação de autentes é a prohibida a resposta do presidente da Associação Pressogeza da Hospitalização Privada. Foi feita por escrito. A médica de tida por fraude na p..."
